www.gocharting.com

date,open,high,low,close,volume,open_interest
"Thu Aug 24 2023 13:45:00 GMT+0530 (India Standard Time)","109.2","112.8","109.2","111.6","990","61545",
"Thu Aug 24 2023 13:50:00 GMT+0530 (India Standard Time)","110.35","114.3","108.2","114","1890","61485",
"Thu Aug 24 2023 13:55:00 GMT+0530 (India Standard Time)","115.85","115.9","107.75","107.75","300","61710",
"Thu Aug 24 2023 14:00:00 GMT+0530 (India Standard Time)","107.7","112.3","107.05","108.95","1650","61965",
"Thu Aug 24 2023 14:05:00 GMT+0530 (India Standard Time)","110.6","115","110","114.75","2205","62685",
"Thu Aug 24 2023 14:10:00 GMT+0530 (India Standard Time)","112.8","115.15","112.4","114.3","5865","63360",
"Thu Aug 24 2023 14:15:00 GMT+0530 (India Standard Time)","113","113","107.85","108.1","1620","65115",
"Thu Aug 24 2023 14:20:00 GMT+0530 (India Standard Time)","108","108","99.35","99.35","4080","65595",
"Thu Aug 24 2023 14:25:00 GMT+0530 (India Standard Time)","95.8","102.5","93.1","101.1","3675","65685",
"Thu Aug 24 2023 14:30:00 GMT+0530 (India Standard Time)","102.25","102.25","96.55","97.2","2070","64890",
"Thu Aug 24 2023 14:35:00 GMT+0530 (India Standard Time)","98.15","98.15","91.7","91.7","6300","64815",
"Thu Aug 24 2023 14:40:00 GMT+0530 (India Standard Time)","92.7","95.95","92.35","94.8","3930","63600",
"Thu Aug 24 2023 14:45:00 GMT+0530 (India Standard Time)","94.8","94.8","90.55","91.5","8430","64515",
"Thu Aug 24 2023 14:50:00 GMT+0530 (India Standard Time)","91.5","91.5","83.65","88.8","20325","69885",
"Thu Aug 24 2023 14:55:00 GMT+0530 (India Standard Time)","88.35","88.6","83.6","88.6","9945","69915",
"Thu Aug 24 2023 15:00:00 GMT+0530 (India Standard Time)","88.7","88.7","84","87.35","12885","71655",
"Thu Aug 24 2023 15:05:00 GMT+0530 (India Standard Time)","88.25","89.1","83.35","85.35","3645","72540",
"Thu Aug 24 2023 15:10:00 GMT+0530 (India Standard Time)","87.55","87.55","84.9","85.55","4635","72930",
"Thu Aug 24 2023 15:15:00 GMT+0530 (India Standard Time)","85.5","86.25","81.55","83.7","10440","75285",
"Thu Aug 24 2023 15:20:00 GMT+0530 (India Standard Time)","82.75","83.75","75.6","78.2","25950","78405",
"Thu Aug 24 2023 15:25:00 GMT+0530 (India Standard Time)","78.05","80.65","76.9","77.3","11055","78675",
"Fri Aug 25 2023 09:15:00 GMT+0530 (India Standard Time)","52.6","58.2","50.9","52.4","50702","87435",
"Fri Aug 25 2023 09:20:00 GMT+0530 (India Standard Time)","51.8","65.2","47.45","63.85","49980","86580",
"Fri Aug 25 2023 09:25:00 GMT+0530 (India Standard Time)","62.95","65.8","57.15","61.3","29265","91140",
"Fri Aug 25 2023 09:30:00 GMT+0530 (India Standard Time)","61","62.45","53.2","54.25","24525","93915",
"Fri Aug 25 2023 09:35:00 GMT+0530 (India Standard Time)","52.25","56.1","49.95","53.2","13425","96570",
"Fri Aug 25 2023 09:40:00 GMT+0530 (India Standard Time)","52.95","56.4","51.7","52.65","9885","98235",
"Fri Aug 25 2023 09:45:00 GMT+0530 (India Standard Time)","51.5","53.6","47.2","48.25","14265","97260",
"Fri Aug 25 2023 09:50:00 GMT+0530 (India Standard Time)","47.05","49.8","46.2","49.2","17715","98835",
"Fri Aug 25 2023 09:55:00 GMT+0530 (India Standard Time)","49.25","51.9","48","50.25","9525","97395",
"Fri Aug 25 2023 10:00:00 GMT+0530 (India Standard Time)","49.9","50.9","47.5","49","9165","99510",
"Fri Aug 25 2023 10:05:00 GMT+0530 (India Standard Time)","48.4","50.1","47.35","50","5475","101730",
"Fri Aug 25 2023 10:10:00 GMT+0530 (India Standard Time)","50.05","50.05","47.45","49.45","9765","101805",
"Fri Aug 25 2023 10:15:00 GMT+0530 (India Standard Time)","49.05","50.1","48.05","49.05","4650","101220",
"Fri Aug 25 2023 10:20:00 GMT+0530 (India Standard Time)","48.9","49.25","46","47.15","10080","103320",
"Fri Aug 25 2023 10:25:00 GMT+0530 (India Standard Time)","46.75","47.2","40.65","40.65","31605","100350",
"Fri Aug 25 2023 10:30:00 GMT+0530 (India Standard Time)","40","41.75","38.45","39.65","35130","95565",
"Fri Aug 25 2023 10:35:00 GMT+0530 (India Standard Time)","39.2","41.1","39.2","40.1","29355","95775",
"Fri Aug 25 2023 10:40:00 GMT+0530 (India Standard Time)","39.9","41.35","39.05","41.05","11505","98490",
"Fri Aug 25 2023 10:45:00 GMT+0530 (India Standard Time)","41","41.7","40.45","40.9","16035","95655",
"Fri Aug 25 2023 10:50:00 GMT+0530 (India Standard Time)","40.8","40.8","39.4","40.15","6945","95475",
"Fri Aug 25 2023 10:55:00 GMT+0530 (India Standard Time)","40.2","40.5","38.05","38.9","18780","100755",
"Fri Aug 25 2023 11:00:00 GMT+0530 (India Standard Time)","38.8","40.3","38.2","39.95","7575","101955",
"Fri Aug 25 2023 11:05:00 GMT+0530 (India Standard Time)","39.8","40.7","39.55","40.35","7710","101940",
"Fri Aug 25 2023 11:10:00 GMT+0530 (India Standard Time)","40.5","40.65","39.7","40","6060","101265",
"Fri Aug 25 2023 11:15:00 GMT+0530 (India Standard Time)","39.75","42.55","38.8","42.55","5910","100965",
"Fri Aug 25 2023 11:20:00 GMT+0530 (India Standard Time)","43.4","51.15","42.95","50.65","24210","98850",
"Fri Aug 25 2023 11:25:00 GMT+0530 (India Standard Time)","52.65","55.6","48.9","54.85","27375","104235",
"Fri Aug 25 2023 11:30:00 GMT+0530 (India Standard Time)","55.05","55.05","50.6","51.6","18330","99270",
"Fri Aug 25 2023 11:35:00 GMT+0530 (India Standard Time)","51.2","51.2","46.35","49.8","14400","97335",
"Fri Aug 25 2023 11:40:00 GMT+0530 (India Standard Time)","49.95","53.25","49.95","51.85","5130","98430",
"Fri Aug 25 2023 11:45:00 GMT+0530 (India Standard Time)","51.9","57.8","51.5","52.4","34815","99345",
"Fri Aug 25 2023 11:50:00 GMT+0530 (India Standard Time)","52.2","53.65","49.45","50.85","7050","107055",
"Fri Aug 25 2023 11:55:00 GMT+0530 (India Standard Time)","50.75","52.6","49.25","50.45","5160","107235",
"Fri Aug 25 2023 12:00:00 GMT+0530 (India Standard Time)","50.1","53.75","50.1","51.5","15375","107145",
"Fri Aug 25 2023 12:05:00 GMT+0530 (India Standard Time)","51.5","53","50.5","51","10515","107175",
"Fri Aug 25 2023 12:10:00 GMT+0530 (India Standard Time)","50.8","60","47.4","48.25","19650","109905",
"Fri Aug 25 2023 12:15:00 GMT+0530 (India Standard Time)","48.15","49.4","47","48.25","11220","107685",
"Fri Aug 25 2023 12:20:00 GMT+0530 (India Standard Time)","48.5","50.05","48.15","49.8","5475","108495",
"Fri Aug 25 2023 12:25:00 GMT+0530 (India Standard Time)","50.15","51.5","49.55","50.3","5700","109290",
"Fri Aug 25 2023 12:30:00 GMT+0530 (India Standard Time)","50.1","52","49.45","51.75","1845","107775",
"Fri Aug 25 2023 12:35:00 GMT+0530 (India Standard Time)","51.55","54.75","51.55","52.4","6525","108720",
"Fri Aug 25 2023 12:40:00 GMT+0530 (India Standard Time)","52.25","56.05","52.25","53.2","7545","106935",
"Fri Aug 25 2023 12:45:00 GMT+0530 (India Standard Time)","54","54","49.85","49.85","3840","107550",
"Fri Aug 25 2023 12:50:00 GMT+0530 (India Standard Time)","49.25","51.75","48.9","49.7","1890","108165",
"Fri Aug 25 2023 12:55:00 GMT+0530 (India Standard Time)","50.3","53.6","50.3","53.2","3120","107250",
"Fri Aug 25 2023 13:00:00 GMT+0530 (India Standard Time)","53.45","54.5","48.35","48.5","6780","108285",
"Fri Aug 25 2023 13:05:00 GMT+0530 (India Standard Time)","48.6","50","47.9","49.8","3960","107280",
"Fri Aug 25 2023 13:10:00 GMT+0530 (India Standard Time)","50.1","50.1","47.4","48.9","6105","108000",
"Fri Aug 25 2023 13:15:00 GMT+0530 (India Standard Time)","48.5","50.65","47.55","50.65","10140","108255",
"Fri Aug 25 2023 13:20:00 GMT+0530 (India Standard Time)","50.35","51","49.15","49.5","4260","105780",
"Fri Aug 25 2023 13:25:00 GMT+0530 (India Standard Time)","48.8","49.2","47.2","47.2","4275","107565",
"Fri Aug 25 2023 13:30:00 GMT+0530 (India Standard Time)","47.4","48.9","46.65","48.25","9675","109455",
"Fri Aug 25 2023 13:35:00 GMT+0530 (India Standard Time)","47.85","48.5","45.7","48.5","2220","110115",
"Fri Aug 25 2023 13:40:00 GMT+0530 (India Standard Time)","48.25","50.35","47.85","49.9","4215","109080",
"Fri Aug 25 2023 13:45:00 GMT+0530 (India Standard Time)","49.9","50.8","49.5","50.75","3855","109950",
"Fri Aug 25 2023 13:50:00 GMT+0530 (India Standard Time)","50.75","51.9","48.9","50.55","4980","111735",
"Fri Aug 25 2023 13:55:00 GMT+0530 (India Standard Time)","49.65","49.9","47.7","48.6","2250","111750",
"Fri Aug 25 2023 14:00:00 GMT+0530 (India Standard Time)","48.75","51.55","47.35","50.65","5745","112020",
"Fri Aug 25 2023 14:05:00 GMT+0530 (India Standard Time)","50.55","53.4","50.2","51","15030","116145",
"Fri Aug 25 2023 14:10:00 GMT+0530 (India Standard Time)","50.45","50.45","46.35","46.4","6630","115995",
"Fri Aug 25 2023 14:15:00 GMT+0530 (India Standard Time)","46.8","46.95","41.35","44.9","22605","111870",
"Fri Aug 25 2023 14:20:00 GMT+0530 (India Standard Time)","43","46.25","43","45.1","12510","114330",
"Fri Aug 25 2023 14:25:00 GMT+0530 (India Standard Time)","45.4","48.75","45.4","47.5","8910","112605",
"Fri Aug 25 2023 14:30:00 GMT+0530 (India Standard Time)","47.4","47.4","44.75","45.5","8040","113700",
"Fri Aug 25 2023 14:35:00 GMT+0530 (India Standard Time)","45.5","46.15","44.4","44.55","9345","114960",
"Fri Aug 25 2023 14:40:00 GMT+0530 (India Standard Time)","43.7","45","43.7","44.7","3375","115140",
"Fri Aug 25 2023 14:45:00 GMT+0530 (India Standard Time)","45.45","47.5","45.45","45.8","7455","114840",
"Fri Aug 25 2023 14:50:00 GMT+0530 (India Standard Time)","45.2","45.95","44.4","45.05","2310","115830",
"Fri Aug 25 2023 14:55:00 GMT+0530 (India Standard Time)","44.95","47.5","44.95","47.45","4800","115110",
"Fri Aug 25 2023 15:00:00 GMT+0530 (India Standard Time)","48","49","43.3","48","9315","114435",
"Fri Aug 25 2023 15:05:00 GMT+0530 (India Standard Time)","48.05","48.25","45.15","46.6","23145","115095",
"Fri Aug 25 2023 15:10:00 GMT+0530 (India Standard Time)","46.7","47.7","45.55","47.15","10890","113385",
"Fri Aug 25 2023 15:15:00 GMT+0530 (India Standard Time)","47.5","48","46.25","46.65","9360","113445",
"Fri Aug 25 2023 15:20:00 GMT+0530 (India Standard Time)","46.9","47.3","45.55","47","23520","117735",
"Fri Aug 25 2023 15:25:00 GMT+0530 (India Standard Time)","46.65","46.85","40","42.8","21255","113610",
"Mon Aug 28 2023 09:15:00 GMT+0530 (India Standard Time)","47.05","57","47","48.65","56342","114975",
"Mon Aug 28 2023 09:20:00 GMT+0530 (India Standard Time)","48.15","48.15","43.85","45.45","36525","128985",
"Mon Aug 28 2023 09:25:00 GMT+0530 (India Standard Time)","45.3","46.25","42.25","43.75","21705","126555",
"Mon Aug 28 2023 09:30:00 GMT+0530 (India Standard Time)","43.2","46.05","41.85","45.6","21450","126990",
"Mon Aug 28 2023 09:35:00 GMT+0530 (India Standard Time)","45.6","45.85","42.8","43.8","12885","131940",
"Mon Aug 28 2023 09:40:00 GMT+0530 (India Standard Time)","43.2","43.6","42.15","42.75","9660","133605",
"Mon Aug 28 2023 09:45:00 GMT+0530 (India Standard Time)","42.65","47.05","42.55","42.7","20265","136620",
"Mon Aug 28 2023 09:50:00 GMT+0530 (India Standard Time)","42.7","43.35","40.05","43.25","10500","139875",
"Mon Aug 28 2023 09:55:00 GMT+0530 (India Standard Time)","43.35","44.1","42","42.45","5790","141045",
"Mon Aug 28 2023 10:00:00 GMT+0530 (India Standard Time)","42.4","43","41.85","42.25","10020","139650",
"Mon Aug 28 2023 10:05:00 GMT+0530 (India Standard Time)","42","42.8","41.75","42.7","8310","139440",
"Mon Aug 28 2023 10:10:00 GMT+0530 (India Standard Time)","42","42.8","42","42.25","9195","137355",
"Mon Aug 28 2023 10:15:00 GMT+0530 (India Standard Time)","42.15","43.5","42","42.25","5100","136485",
"Mon Aug 28 2023 10:20:00 GMT+0530 (India Standard Time)","42.25","42.75","42","42.05","12105","131925",
"Mon Aug 28 2023 10:25:00 GMT+0530 (India Standard Time)","41.55","46.6","41.1","45.7","21240","131115",
"Mon Aug 28 2023 10:30:00 GMT+0530 (India Standard Time)","45.7","48.85","45.5","46.85","24615","131775",
"Mon Aug 28 2023 10:35:00 GMT+0530 (India Standard Time)","46.9","47.55","45.7","46.35","16275","138870",
"Mon Aug 28 2023 10:40:00 GMT+0530 (India Standard Time)","46.35","46.45","43.2","43.7","8685","140055",
"Mon Aug 28 2023 10:45:00 GMT+0530 (India Standard Time)","43.9","46.4","43.75","45.55","8625","140730",
"Mon Aug 28 2023 10:50:00 GMT+0530 (India Standard Time)","45.65","45.65","43.9","44.6","3765","140610",
"Mon Aug 28 2023 10:55:00 GMT+0530 (India Standard Time)","44.6","44.9","43.05","43.7","5115","141495",
"Mon Aug 28 2023 11:00:00 GMT+0530 (India Standard Time)","43.8","45.05","43.65","44.75","4080","142275",
"Mon Aug 28 2023 11:05:00 GMT+0530 (India Standard Time)","44.3","44.95","44.25","44.7","1860","142140",
"Mon Aug 28 2023 11:10:00 GMT+0530 (India Standard Time)","44.6","46.3","44.35","46.3","6240","145395",
"Mon Aug 28 2023 11:15:00 GMT+0530 (India Standard Time)","46.25","50.35","45.35","49.75","19905","146340",
"Mon Aug 28 2023 11:20:00 GMT+0530 (India Standard Time)","49.7","50.05","47.65","49.2","25635","152910",
"Mon Aug 28 2023 11:25:00 GMT+0530 (India Standard Time)","49.3","54.55","48.9","52.1","39210","154950",
"Mon Aug 28 2023 11:30:00 GMT+0530 (India Standard Time)","52.15","54.25","51.7","52.3","14145","156045",
"Mon Aug 28 2023 11:35:00 GMT+0530 (India Standard Time)","52.35","53.15","50.05","50.35","14400","156105",
"Mon Aug 28 2023 11:40:00 GMT+0530 (India Standard Time)","49.8","52.6","48","52.6","17025","156975",
"Mon Aug 28 2023 11:45:00 GMT+0530 (India Standard Time)","52.3","52.65","51.05","51.9","9285","156465",
"Mon Aug 28 2023 11:50:00 GMT+0530 (India Standard Time)","51.95","52.2","46.85","47.05","25920","151155",
"Mon Aug 28 2023 11:55:00 GMT+0530 (India Standard Time)","45.95","49.5","45.95","49.35","11955","153690",
"Mon Aug 28 2023 12:00:00 GMT+0530 (India Standard Time)","49.45","50.55","46","47.4","12075","153630",
"Mon Aug 28 2023 12:05:00 GMT+0530 (India Standard Time)","48.2","49.5","47.2","49.2","4170","151560",
"Mon Aug 28 2023 12:10:00 GMT+0530 (India Standard Time)","49.4","49.4","48.25","48.25","2775","151035",
"Mon Aug 28 2023 12:15:00 GMT+0530 (India Standard Time)","47.95","49.1","47.25","48.7","3105","151455",
"Mon Aug 28 2023 12:20:00 GMT+0530 (India Standard Time)","49.05","49.5","48.6","48.95","3600","151350",
"Mon Aug 28 2023 12:25:00 GMT+0530 (India Standard Time)","48.8","48.95","47.55","48.25","2070","149250",
"Mon Aug 28 2023 12:30:00 GMT+0530 (India Standard Time)","48","55.3","48","53.5","29775","145560",
"Mon Aug 28 2023 12:35:00 GMT+0530 (India Standard Time)","53.4","58.35","52.65","56.65","30360","155685",
"Mon Aug 28 2023 12:40:00 GMT+0530 (India Standard Time)","56.75","59.55","55.6","58.8","14955","153570",
"Mon Aug 28 2023 12:45:00 GMT+0530 (India Standard Time)","58.8","61.6","55.45","59.75","17415","157185",
"Mon Aug 28 2023 12:50:00 GMT+0530 (India Standard Time)","59.75","60.05","57.8","58.25","10710","159555",
"Mon Aug 28 2023 12:55:00 GMT+0530 (India Standard Time)","58.05","58.6","55.9","57.95","10890","157785",
"Mon Aug 28 2023 13:00:00 GMT+0530 (India Standard Time)","58.4","63","57.5","61.55","10545","156450",
"Mon Aug 28 2023 13:05:00 GMT+0530 (India Standard Time)","61.75","62.65","56.95","57.7","14175","156645",
"Mon Aug 28 2023 13:10:00 GMT+0530 (India Standard Time)","57.9","59.05","56.45","58.2","3270","155805",
"Mon Aug 28 2023 13:15:00 GMT+0530 (India Standard Time)","58.2","60.35","56.85","59.5","9615","154770",
"Mon Aug 28 2023 13:20:00 GMT+0530 (India Standard Time)","59.2","60.9","58.55","60.8","5955","154905",
"Mon Aug 28 2023 13:25:00 GMT+0530 (India Standard Time)","60.9","61.15","55.45","57.95","15105","152460",
"Mon Aug 28 2023 13:30:00 GMT+0530 (India Standard Time)","56.9","58.25","56.6","57.5","3390","151980",
"Mon Aug 28 2023 13:35:00 GMT+0530 (India Standard Time)","57.45","59.75","57.45","59.5","7665","150450",
"Mon Aug 28 2023 13:40:00 GMT+0530 (India Standard Time)","59.45","60.05","58.1","58.5","7740","151380",
"Mon Aug 28 2023 13:45:00 GMT+0530 (India Standard Time)","58","59.7","57","59.5","3525","149655",
"Mon Aug 28 2023 13:50:00 GMT+0530 (India Standard Time)","59.5","59.6","56.25","57.4","15795","145725",
"Mon Aug 28 2023 13:55:00 GMT+0530 (India Standard Time)","57.35","58.45","57.35","58.15","5880","145815",
"Mon Aug 28 2023 14:00:00 GMT+0530 (India Standard Time)","58.05","65.5","57.5","65.1","11505","144750",
"Mon Aug 28 2023 14:05:00 GMT+0530 (India Standard Time)","66.2","68.75","62.45","63.55","32310","144960",
"Mon Aug 28 2023 14:10:00 GMT+0530 (India Standard Time)","64","65","57.85","58.4","18465","146040",
"Mon Aug 28 2023 14:15:00 GMT+0530 (India Standard Time)","56.6","58.4","55.65","57.3","21210","143040",
"Mon Aug 28 2023 14:20:00 GMT+0530 (India Standard Time)","57.45","58.2","47.9","47.9","48675","157365",
"Mon Aug 28 2023 14:25:00 GMT+0530 (India Standard Time)","47.95","50.7","46.05","50.1","29250","154620",
"Mon Aug 28 2023 14:30:00 GMT+0530 (India Standard Time)","49.9","53.95","49.85","51.5","9675","154515",
"Mon Aug 28 2023 14:35:00 GMT+0530 (India Standard Time)","51.45","53","49.95","51.2","15420","152595",
"Mon Aug 28 2023 14:40:00 GMT+0530 (India Standard Time)","51.35","53.8","49.7","53.3","6600","149520",
"Mon Aug 28 2023 14:45:00 GMT+0530 (India Standard Time)","53.35","54.35","51.35","52.95","6150","150660",
"Mon Aug 28 2023 14:50:00 GMT+0530 (India Standard Time)","53.65","54.65","51.95","53.35","14055","150465",
"Mon Aug 28 2023 14:55:00 GMT+0530 (India Standard Time)","53.2","54.35","51.75","54.3","8895","155880",
"Mon Aug 28 2023 15:00:00 GMT+0530 (India Standard Time)","54.15","55.35","49.05","49.75","21060","158280",
"Mon Aug 28 2023 15:05:00 GMT+0530 (India Standard Time)","49.9","50","46","47.55","35220","150555",
"Mon Aug 28 2023 15:10:00 GMT+0530 (India Standard Time)","47.55","49.3","47.4","48.05","28215","156105",
"Mon Aug 28 2023 15:15:00 GMT+0530 (India Standard Time)","47.65","50","47.2","49.6","47415","171900",
"Mon Aug 28 2023 15:20:00 GMT+0530 (India Standard Time)","49.5","50.1","48.95","49.8","22215","174615",
"Mon Aug 28 2023 15:25:00 GMT+0530 (India Standard Time)","50","50","47","47.8","37155","168210",
"Tue Aug 29 2023 09:15:00 GMT+0530 (India Standard Time)","55.5","63.95","51.25","54.3","46367","174945",
"Tue Aug 29 2023 09:20:00 GMT+0530 (India Standard Time)","53.85","54.95","52.3","54.65","15900","183045",
"Tue Aug 29 2023 09:25:00 GMT+0530 (India Standard Time)","55","55","50.1","51.55","24840","188310",
"Tue Aug 29 2023 09:30:00 GMT+0530 (India Standard Time)","51.45","52.6","50.8","51.85","25830","188160",
"Tue Aug 29 2023 09:35:00 GMT+0530 (India Standard Time)","51.7","52.35","49.3","51.8","12210","191985",
