www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Aug 16 2023 13:05:00 GMT+0530 (India Standard Time)","252.1","252.1","252.1","252.1","60","825",
"Wed Aug 16 2023 13:10:00 GMT+0530 (India Standard Time)","252.1","252.1","252.1","252.1","30","825",
"Wed Aug 16 2023 13:15:00 GMT+0530 (India Standard Time)","250.8","250.8","250.8","250.8","15","795",
"Wed Aug 16 2023 13:20:00 GMT+0530 (India Standard Time)","241.95","241.95","241.95","241.95","15","810",
"Wed Aug 16 2023 13:25:00 GMT+0530 (India Standard Time)","241.95","241.95","241.95","241.95","15","810",
"Wed Aug 16 2023 13:40:00 GMT+0530 (India Standard Time)","259.1","259.1","257.5","257.5","1620","795",
"Wed Aug 16 2023 13:45:00 GMT+0530 (India Standard Time)","346.45","346.45","265.2","265.2","2070","1200",
"Wed Aug 16 2023 13:50:00 GMT+0530 (India Standard Time)","263.5","267.45","262.8","267.45","585","1365",
"Wed Aug 16 2023 13:55:00 GMT+0530 (India Standard Time)","267.5","267.5","265","265","195","1320",
"Wed Aug 16 2023 14:00:00 GMT+0530 (India Standard Time)","257.25","261.85","254.55","257.55","720","1140",
"Wed Aug 16 2023 14:15:00 GMT+0530 (India Standard Time)","270.45","270.45","257.35","264.1","225","960",
"Wed Aug 16 2023 14:20:00 GMT+0530 (India Standard Time)","254.75","260.1","254.75","260.1","45","885",
"Wed Aug 16 2023 14:25:00 GMT+0530 (India Standard Time)","252","252","252","252","30","885",
"Wed Aug 16 2023 15:00:00 GMT+0530 (India Standard Time)","260","260","244.5","244.5","195","885",
"Wed Aug 16 2023 15:05:00 GMT+0530 (India Standard Time)","246.65","246.65","246.65","246.65","15","885",
"Wed Aug 16 2023 15:25:00 GMT+0530 (India Standard Time)","261.1","261.1","261.1","261.1","195","885",
"Thu Aug 17 2023 09:15:00 GMT+0530 (India Standard Time)","272.5","272.5","248.6","257","1516","1125",
"Thu Aug 17 2023 09:20:00 GMT+0530 (India Standard Time)","265.7","280","252.55","266.55","3390","4425",
"Thu Aug 17 2023 09:25:00 GMT+0530 (India Standard Time)","275.65","281.25","274.6","275.95","525","5325",
"Thu Aug 17 2023 09:30:00 GMT+0530 (India Standard Time)","299.55","299.55","282.65","290.15","960","5790",
"Thu Aug 17 2023 09:35:00 GMT+0530 (India Standard Time)","284.7","284.7","273.5","273.5","165","5700",
"Thu Aug 17 2023 09:40:00 GMT+0530 (India Standard Time)","280.35","280.35","265","265","915","5745",
"Thu Aug 17 2023 09:45:00 GMT+0530 (India Standard Time)","263.25","263.25","263.25","263.25","45","6645",
"Thu Aug 17 2023 09:50:00 GMT+0530 (India Standard Time)","260.3","260.3","260.3","260.3","15","6645",
"Thu Aug 17 2023 10:00:00 GMT+0530 (India Standard Time)","267.2","274.6","260","260","495","6630",
"Thu Aug 17 2023 10:05:00 GMT+0530 (India Standard Time)","245.45","245.45","245.45","245.45","60","6720",
"Thu Aug 17 2023 10:10:00 GMT+0530 (India Standard Time)","245.45","245.45","245.45","245.45","120","6660",
"Thu Aug 17 2023 10:15:00 GMT+0530 (India Standard Time)","252.5","256.1","248.4","255","795","6660",
"Thu Aug 17 2023 10:20:00 GMT+0530 (India Standard Time)","250","250","241.15","241.15","210","6810",
"Thu Aug 17 2023 10:30:00 GMT+0530 (India Standard Time)","241.15","241.15","241.15","241.15","15","7005",
"Thu Aug 17 2023 10:35:00 GMT+0530 (India Standard Time)","230.6","243.5","230.6","243.5","525","6660",
"Thu Aug 17 2023 10:40:00 GMT+0530 (India Standard Time)","239.05","239.05","231.9","232.65","330","6540",
"Thu Aug 17 2023 10:45:00 GMT+0530 (India Standard Time)","235","239","235","238.8","390","6540",
"Thu Aug 17 2023 10:50:00 GMT+0530 (India Standard Time)","238.8","238.8","235","235","120","6570",
"Thu Aug 17 2023 10:55:00 GMT+0530 (India Standard Time)","229.05","229.05","223.35","223.35","945","6630",
"Thu Aug 17 2023 11:00:00 GMT+0530 (India Standard Time)","223.35","223.35","223.35","223.35","15","5910",
"Thu Aug 17 2023 11:05:00 GMT+0530 (India Standard Time)","230.75","232.15","230.75","232.1","120","5895",
"Thu Aug 17 2023 11:10:00 GMT+0530 (India Standard Time)","235.15","237.75","233.55","237.3","855","6300",
"Thu Aug 17 2023 11:15:00 GMT+0530 (India Standard Time)","243.1","260","238","255.75","1935","6255",
"Thu Aug 17 2023 11:20:00 GMT+0530 (India Standard Time)","255.95","256","255.95","256","45","6315",
"Thu Aug 17 2023 11:25:00 GMT+0530 (India Standard Time)","253.6","253.6","253.6","253.6","60","6300",
"Thu Aug 17 2023 11:35:00 GMT+0530 (India Standard Time)","255","255","255","255","15","6345",
