close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
430.0,2023-01-27 14:00:00,NFO,27-APR-2023,450.0,430.0,450.0,50,Options,Call,NIFTY,17900.0,250
440.0,2023-01-27 14:30:00,NFO,27-APR-2023,445.0,440.0,445.0,600,Options,Call,NIFTY,17900.0,900
461.55,2023-01-27 15:00:00,NFO,27-APR-2023,461.55,461.55,461.55,1100,Options,Call,NIFTY,17900.0,200
458.25,2023-01-30 10:30:00,NFO,27-APR-2023,458.25,458.25,458.25,1300,Options,Call,NIFTY,17900.0,50
475.05,2023-01-30 11:00:00,NFO,27-APR-2023,475.05,460.0,460.0,1350,Options,Call,NIFTY,17900.0,150
465.65,2023-01-30 11:30:00,NFO,27-APR-2023,465.9,465.65,465.9,1350,Options,Call,NIFTY,17900.0,100
465.65,2023-01-30 14:00:00,NFO,27-APR-2023,465.65,465.65,465.65,1350,Options,Call,NIFTY,17900.0,50
470.0,2023-01-30 14:30:00,NFO,27-APR-2023,470.0,460.0,460.0,1500,Options,Call,NIFTY,17900.0,250
484.05,2023-01-30 15:00:00,NFO,27-APR-2023,501.65,480.6,480.6,1650,Options,Call,NIFTY,17900.0,400
496.9,2023-01-31 09:30:00,NFO,27-APR-2023,496.9,480.0,480.0,1750,Options,Call,NIFTY,17900.0,100
481.0,2023-01-31 10:30:00,NFO,27-APR-2023,500.0,481.0,500.0,1750,Options,Call,NIFTY,17900.0,100
475.0,2023-01-31 11:00:00,NFO,27-APR-2023,480.0,475.0,480.0,1750,Options,Call,NIFTY,17900.0,100
510.9,2023-01-31 11:30:00,NFO,27-APR-2023,510.9,510.9,510.9,1700,Options,Call,NIFTY,17900.0,50
493.0,2023-01-31 12:00:00,NFO,27-APR-2023,493.0,490.35,490.35,1700,Options,Call,NIFTY,17900.0,250
512.45,2023-01-31 13:00:00,NFO,27-APR-2023,512.45,510.0,510.0,1800,Options,Call,NIFTY,17900.0,200
470.0,2023-01-31 14:00:00,NFO,27-APR-2023,470.0,470.0,470.0,1800,Options,Call,NIFTY,17900.0,50
538.2,2023-01-31 15:00:00,NFO,27-APR-2023,543.25,510.25,510.25,1850,Options,Call,NIFTY,17900.0,1000
534.85,2023-02-01 10:00:00,NFO,27-APR-2023,534.85,534.85,534.85,2200,Options,Call,NIFTY,17900.0,50
525.0,2023-02-01 11:00:00,NFO,27-APR-2023,525.0,525.0,525.0,2200,Options,Call,NIFTY,17900.0,50
540.0,2023-02-01 11:30:00,NFO,27-APR-2023,540.0,540.0,540.0,2250,Options,Call,NIFTY,17900.0,50
558.0,2023-02-01 12:00:00,NFO,27-APR-2023,558.0,558.0,558.0,2250,Options,Call,NIFTY,17900.0,100
646.0,2023-02-01 12:30:00,NFO,27-APR-2023,646.0,606.0,606.0,2450,Options,Call,NIFTY,17900.0,3900
567.8,2023-02-01 13:00:00,NFO,27-APR-2023,647.0,566.45,645.0,2950,Options,Call,NIFTY,17900.0,1800
492.45,2023-02-01 13:30:00,NFO,27-APR-2023,551.0,492.45,551.0,3700,Options,Call,NIFTY,17900.0,400
460.55,2023-02-01 14:00:00,NFO,27-APR-2023,510.05,460.55,491.0,3600,Options,Call,NIFTY,17900.0,1450
398.6,2023-02-01 14:30:00,NFO,27-APR-2023,461.0,398.55,460.0,3650,Options,Call,NIFTY,17900.0,600
460.0,2023-02-01 15:00:00,NFO,27-APR-2023,469.05,420.9,420.9,3550,Options,Call,NIFTY,17900.0,900
424.55,2023-02-02 09:00:00,NFO,27-APR-2023,425.55,410.0,410.0,3400,Options,Call,NIFTY,17900.0,800
421.25,2023-02-02 09:30:00,NFO,27-APR-2023,455.0,416.85,438.85,3550,Options,Call,NIFTY,17900.0,500
420.5,2023-02-02 10:00:00,NFO,27-APR-2023,436.0,420.5,422.5,3400,Options,Call,NIFTY,17900.0,450
419.7,2023-02-02 10:30:00,NFO,27-APR-2023,423.55,406.8,406.8,3150,Options,Call,NIFTY,17900.0,400
433.95,2023-02-02 11:00:00,NFO,27-APR-2023,440.95,425.0,428.45,3250,Options,Call,NIFTY,17900.0,700
421.6,2023-02-02 11:30:00,NFO,27-APR-2023,429.0,421.6,429.0,3200,Options,Call,NIFTY,17900.0,200
414.6,2023-02-02 12:00:00,NFO,27-APR-2023,430.95,412.95,430.95,3300,Options,Call,NIFTY,17900.0,300
418.45,2023-02-02 12:30:00,NFO,27-APR-2023,418.45,407.45,410.0,3150,Options,Call,NIFTY,17900.0,400
409.55,2023-02-02 13:00:00,NFO,27-APR-2023,418.95,406.95,418.95,3150,Options,Call,NIFTY,17900.0,250
401.95,2023-02-02 13:30:00,NFO,27-APR-2023,411.05,397.45,411.05,3200,Options,Call,NIFTY,17900.0,150
430.45,2023-02-02 14:00:00,NFO,27-APR-2023,430.45,403.15,403.15,3450,Options,Call,NIFTY,17900.0,300
433.45,2023-02-02 14:30:00,NFO,27-APR-2023,433.45,432.45,432.45,3450,Options,Call,NIFTY,17900.0,100
421.0,2023-02-02 15:00:00,NFO,27-APR-2023,436.6,421.0,426.95,3550,Options,Call,NIFTY,17900.0,250
436.95,2023-02-03 09:00:00,NFO,27-APR-2023,454.0,436.95,449.0,4250,Options,Call,NIFTY,17900.0,950
438.0,2023-02-03 09:30:00,NFO,27-APR-2023,446.0,431.1,431.1,4150,Options,Call,NIFTY,17900.0,300
433.05,2023-02-03 10:30:00,NFO,27-APR-2023,433.05,413.7,424.45,4200,Options,Call,NIFTY,17900.0,300
420.95,2023-02-03 11:00:00,NFO,27-APR-2023,435.05,420.95,435.05,4100,Options,Call,NIFTY,17900.0,150
452.0,2023-02-03 11:30:00,NFO,27-APR-2023,452.0,438.55,438.55,4100,Options,Call,NIFTY,17900.0,100
453.8,2023-02-03 12:00:00,NFO,27-APR-2023,453.8,448.45,448.45,4100,Options,Call,NIFTY,17900.0,300
473.55,2023-02-03 12:30:00,NFO,27-APR-2023,473.55,473.55,473.55,4250,Options,Call,NIFTY,17900.0,50
454.0,2023-02-03 13:00:00,NFO,27-APR-2023,454.0,453.55,453.55,4200,Options,Call,NIFTY,17900.0,100
473.5,2023-02-03 13:30:00,NFO,27-APR-2023,474.05,469.0,469.0,4300,Options,Call,NIFTY,17900.0,650
500.0,2023-02-03 14:00:00,NFO,27-APR-2023,500.0,481.9,481.9,4300,Options,Call,NIFTY,17900.0,250
523.0,2023-02-03 14:30:00,NFO,27-APR-2023,527.05,513.05,513.05,4150,Options,Call,NIFTY,17900.0,1000
513.35,2023-02-03 15:00:00,NFO,27-APR-2023,534.5,513.35,532.85,4400,Options,Call,NIFTY,17900.0,550
479.0,2023-02-06 09:00:00,NFO,27-APR-2023,492.05,479.0,491.0,4750,Options,Call,NIFTY,17900.0,950
476.85,2023-02-06 09:30:00,NFO,27-APR-2023,484.55,462.45,462.45,5150,Options,Call,NIFTY,17900.0,650
461.75,2023-02-06 10:00:00,NFO,27-APR-2023,488.0,461.75,488.0,5250,Options,Call,NIFTY,17900.0,250
460.0,2023-02-06 10:30:00,NFO,27-APR-2023,460.0,450.0,456.95,6050,Options,Call,NIFTY,17900.0,1050
470.0,2023-02-06 11:30:00,NFO,27-APR-2023,470.0,467.5,467.5,6100,Options,Call,NIFTY,17900.0,150
475.55,2023-02-06 12:00:00,NFO,27-APR-2023,475.55,475.55,475.55,6100,Options,Call,NIFTY,17900.0,50
471.2,2023-02-06 12:30:00,NFO,27-APR-2023,471.2,471.2,471.2,6100,Options,Call,NIFTY,17900.0,100
