close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
456.65,2021-12-20 09:00:00,NFO,24-FEB-2022,456.65,456.65,456.65,0,Options,Call,NIFTY,16900.0,200
390.0,2021-12-20 11:00:00,NFO,24-FEB-2022,398.25,390.0,398.25,50,Options,Call,NIFTY,16900.0,400
387.15,2021-12-20 11:30:00,NFO,24-FEB-2022,397.75,385.0,385.0,200,Options,Call,NIFTY,16900.0,500
380.15,2021-12-20 12:00:00,NFO,24-FEB-2022,400.0,380.15,390.0,1350,Options,Call,NIFTY,16900.0,2400
365.65,2021-12-20 12:30:00,NFO,24-FEB-2022,365.65,352.4,362.8,1450,Options,Call,NIFTY,16900.0,300
356.25,2021-12-20 13:00:00,NFO,24-FEB-2022,356.25,356.25,356.25,1500,Options,Call,NIFTY,16900.0,100
397.0,2021-12-20 13:30:00,NFO,24-FEB-2022,397.0,396.9,396.9,1500,Options,Call,NIFTY,16900.0,200
405.0,2021-12-20 14:00:00,NFO,24-FEB-2022,405.0,377.45,377.45,1550,Options,Call,NIFTY,16900.0,400
400.55,2021-12-20 14:30:00,NFO,24-FEB-2022,406.45,400.55,405.35,1650,Options,Call,NIFTY,16900.0,300
410.25,2021-12-20 15:00:00,NFO,24-FEB-2022,416.8,410.0,410.0,1850,Options,Call,NIFTY,16900.0,1000
482.0,2021-12-21 09:00:00,NFO,24-FEB-2022,482.0,439.8,439.8,1750,Options,Call,NIFTY,16900.0,700
503.0,2021-12-21 09:30:00,NFO,24-FEB-2022,503.0,443.3,450.0,1600,Options,Call,NIFTY,16900.0,500
522.8,2021-12-21 10:00:00,NFO,24-FEB-2022,522.8,490.0,490.0,1550,Options,Call,NIFTY,16900.0,700
515.35,2021-12-21 10:30:00,NFO,24-FEB-2022,515.35,515.35,515.35,1750,Options,Call,NIFTY,16900.0,200
510.3,2021-12-21 11:00:00,NFO,24-FEB-2022,510.3,506.05,506.05,1750,Options,Call,NIFTY,16900.0,1100
532.9,2021-12-21 12:00:00,NFO,24-FEB-2022,546.7,532.9,543.0,1850,Options,Call,NIFTY,16900.0,600
544.25,2021-12-21 12:30:00,NFO,24-FEB-2022,544.25,532.9,532.9,1950,Options,Call,NIFTY,16900.0,500
519.1,2021-12-21 13:00:00,NFO,24-FEB-2022,533.7,513.15,533.7,1900,Options,Call,NIFTY,16900.0,600
518.0,2021-12-21 13:30:00,NFO,24-FEB-2022,520.5,518.0,518.0,2000,Options,Call,NIFTY,16900.0,400
448.3,2021-12-21 14:00:00,NFO,24-FEB-2022,496.25,448.3,496.25,2000,Options,Call,NIFTY,16900.0,500
427.4,2021-12-21 14:30:00,NFO,24-FEB-2022,439.85,427.4,439.85,2000,Options,Call,NIFTY,16900.0,200
476.0,2021-12-21 15:00:00,NFO,24-FEB-2022,476.0,470.0,470.0,2100,Options,Call,NIFTY,16900.0,1100
517.8,2021-12-22 09:00:00,NFO,24-FEB-2022,521.25,498.2,506.45,2450,Options,Call,NIFTY,16900.0,800
519.7,2021-12-22 09:30:00,NFO,24-FEB-2022,525.0,508.85,508.85,2400,Options,Call,NIFTY,16900.0,2300
504.95,2021-12-22 10:00:00,NFO,24-FEB-2022,519.85,502.75,519.85,2350,Options,Call,NIFTY,16900.0,500
495.2,2021-12-22 10:30:00,NFO,24-FEB-2022,495.2,485.0,485.0,2350,Options,Call,NIFTY,16900.0,200
492.1,2021-12-22 11:00:00,NFO,24-FEB-2022,492.1,492.1,492.1,2350,Options,Call,NIFTY,16900.0,100
505.0,2021-12-22 11:30:00,NFO,24-FEB-2022,505.0,505.0,505.0,2350,Options,Call,NIFTY,16900.0,300
515.0,2021-12-22 12:00:00,NFO,24-FEB-2022,515.0,511.9,511.9,2450,Options,Call,NIFTY,16900.0,200
515.0,2021-12-22 12:30:00,NFO,24-FEB-2022,515.0,515.0,515.0,2500,Options,Call,NIFTY,16900.0,100
512.1,2021-12-22 13:00:00,NFO,24-FEB-2022,525.0,512.1,525.0,3000,Options,Call,NIFTY,16900.0,1200
512.1,2021-12-22 14:00:00,NFO,24-FEB-2022,512.1,512.1,512.1,3000,Options,Call,NIFTY,16900.0,100
530.0,2021-12-22 14:30:00,NFO,24-FEB-2022,530.0,512.1,512.1,2700,Options,Call,NIFTY,16900.0,1400
549.0,2021-12-22 15:00:00,NFO,24-FEB-2022,549.75,545.0,545.0,2350,Options,Call,NIFTY,16900.0,1200
589.0,2021-12-23 09:00:00,NFO,24-FEB-2022,589.0,585.15,585.25,2050,Options,Call,NIFTY,16900.0,300
623.85,2021-12-23 09:30:00,NFO,24-FEB-2022,624.1,589.55,600.0,1950,Options,Call,NIFTY,16900.0,700
593.65,2021-12-23 10:00:00,NFO,24-FEB-2022,616.7,590.0,616.7,1850,Options,Call,NIFTY,16900.0,1000
600.0,2021-12-23 10:30:00,NFO,24-FEB-2022,602.0,596.0,596.0,1950,Options,Call,NIFTY,16900.0,300
606.55,2021-12-23 11:00:00,NFO,24-FEB-2022,606.55,601.35,601.35,2000,Options,Call,NIFTY,16900.0,200
600.05,2021-12-23 11:30:00,NFO,24-FEB-2022,600.05,592.1,592.1,2050,Options,Call,NIFTY,16900.0,200
614.25,2021-12-23 12:30:00,NFO,24-FEB-2022,614.25,614.25,614.25,2100,Options,Call,NIFTY,16900.0,100
633.0,2021-12-23 13:00:00,NFO,24-FEB-2022,633.0,623.75,623.75,2050,Options,Call,NIFTY,16900.0,200
589.75,2021-12-23 14:00:00,NFO,24-FEB-2022,597.0,589.75,597.0,2050,Options,Call,NIFTY,16900.0,300
615.3,2021-12-23 14:30:00,NFO,24-FEB-2022,615.3,615.3,615.3,1950,Options,Call,NIFTY,16900.0,200
581.55,2021-12-23 15:00:00,NFO,24-FEB-2022,591.0,579.45,583.95,1900,Options,Call,NIFTY,16900.0,900
