close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
992.25,2022-04-22 10:30:00,NFO,30-JUN-2022,992.25,992.25,992.25,0,Options,Call,NIFTY,16600.0,100
1020.2,2022-04-22 11:00:00,NFO,30-JUN-2022,1020.2,1020.2,1020.2,100,Options,Call,NIFTY,16600.0,50
1027.1,2022-04-22 11:30:00,NFO,30-JUN-2022,1027.1,1014.2,1020.2,50,Options,Call,NIFTY,16600.0,150
791.6,2022-04-25 11:30:00,NFO,30-JUN-2022,791.6,791.6,791.6,100,Options,Call,NIFTY,16600.0,50
769.0,2022-04-25 14:30:00,NFO,30-JUN-2022,770.75,769.0,770.75,150,Options,Call,NIFTY,16600.0,100
892.25,2022-04-26 09:00:00,NFO,30-JUN-2022,892.25,892.25,892.25,150,Options,Call,NIFTY,16600.0,100
909.2,2022-04-26 11:30:00,NFO,30-JUN-2022,909.2,909.2,909.2,250,Options,Call,NIFTY,16600.0,50
893.1,2022-04-26 14:00:00,NFO,30-JUN-2022,893.1,893.1,893.1,300,Options,Call,NIFTY,16600.0,100
790.75,2022-04-27 13:00:00,NFO,30-JUN-2022,790.75,780.0,785.7,300,Options,Call,NIFTY,16600.0,150
854.0,2022-04-28 10:30:00,NFO,30-JUN-2022,854.0,854.0,854.0,300,Options,Call,NIFTY,16600.0,50
850.0,2022-04-28 11:00:00,NFO,30-JUN-2022,850.0,850.0,850.0,350,Options,Call,NIFTY,16600.0,50
869.3,2022-04-28 11:30:00,NFO,30-JUN-2022,869.35,869.3,869.35,350,Options,Call,NIFTY,16600.0,150
960.0,2022-04-28 13:00:00,NFO,30-JUN-2022,960.0,960.0,960.0,400,Options,Call,NIFTY,16600.0,100
964.0,2022-04-28 14:00:00,NFO,30-JUN-2022,968.0,964.0,968.0,350,Options,Call,NIFTY,16600.0,200
937.7,2022-04-28 15:00:00,NFO,30-JUN-2022,958.5,926.0,958.5,450,Options,Call,NIFTY,16600.0,150
982.95,2022-04-29 09:00:00,NFO,30-JUN-2022,983.1,982.95,983.1,650,Options,Call,NIFTY,16600.0,200
954.0,2022-04-29 09:30:00,NFO,30-JUN-2022,954.0,941.45,941.45,650,Options,Call,NIFTY,16600.0,350
950.0,2022-04-29 10:00:00,NFO,30-JUN-2022,950.0,950.0,950.0,900,Options,Call,NIFTY,16600.0,50
902.3,2022-04-29 14:00:00,NFO,30-JUN-2022,902.3,884.75,893.0,1600,Options,Call,NIFTY,16600.0,700
928.65,2022-04-29 14:30:00,NFO,30-JUN-2022,928.65,928.65,928.65,1550,Options,Call,NIFTY,16600.0,50
833.0,2022-04-29 15:00:00,NFO,30-JUN-2022,884.0,833.0,878.0,1900,Options,Call,NIFTY,16600.0,450
733.05,2022-05-02 09:00:00,NFO,30-JUN-2022,733.05,733.05,733.05,1950,Options,Call,NIFTY,16600.0,50
745.0,2022-05-02 09:30:00,NFO,30-JUN-2022,753.95,724.55,724.55,2050,Options,Call,NIFTY,16600.0,1050
747.05,2022-05-02 10:00:00,NFO,30-JUN-2022,748.95,740.15,740.15,3000,Options,Call,NIFTY,16600.0,200
744.55,2022-05-02 10:30:00,NFO,30-JUN-2022,774.0,744.55,774.0,3450,Options,Call,NIFTY,16600.0,550
736.6,2022-05-02 11:00:00,NFO,30-JUN-2022,736.6,736.6,736.6,3650,Options,Call,NIFTY,16600.0,100
777.0,2022-05-02 12:00:00,NFO,30-JUN-2022,777.0,764.05,764.05,3850,Options,Call,NIFTY,16600.0,150
768.95,2022-05-02 12:30:00,NFO,30-JUN-2022,780.5,743.95,780.5,7300,Options,Call,NIFTY,16600.0,4600
758.1,2022-05-02 13:00:00,NFO,30-JUN-2022,771.0,755.0,764.5,8350,Options,Call,NIFTY,16600.0,650
763.6,2022-05-02 13:30:00,NFO,30-JUN-2022,775.7,758.05,758.05,8400,Options,Call,NIFTY,16600.0,950
744.05,2022-05-02 14:00:00,NFO,30-JUN-2022,760.15,744.05,756.95,8600,Options,Call,NIFTY,16600.0,300
801.35,2022-05-02 14:30:00,NFO,30-JUN-2022,801.35,750.85,750.85,9700,Options,Call,NIFTY,16600.0,1400
787.65,2022-05-02 15:00:00,NFO,30-JUN-2022,818.2,783.85,818.2,9750,Options,Call,NIFTY,16600.0,400
795.3,2022-05-04 09:30:00,NFO,30-JUN-2022,795.3,795.3,795.3,9750,Options,Call,NIFTY,16600.0,100
734.35,2022-05-04 10:30:00,NFO,30-JUN-2022,734.35,731.0,731.0,9450,Options,Call,NIFTY,16600.0,300
736.0,2022-05-04 11:00:00,NFO,30-JUN-2022,736.0,722.95,722.95,9450,Options,Call,NIFTY,16600.0,150
