close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
800.0,2022-11-25 14:30:00,NFO,23-FEB-2023,800.0,800.0,800.0,0,Options,Call,NIFTY,18300.0,50
1189.0,2022-12-02 10:30:00,NFO,23-FEB-2023,1189.0,1189.0,1189.0,50,Options,Call,NIFTY,18300.0,50
845.0,2022-12-06 09:00:00,NFO,23-FEB-2023,845.0,845.0,845.0,100,Options,Call,NIFTY,18300.0,50
846.0,2022-12-06 11:00:00,NFO,23-FEB-2023,846.0,846.0,846.0,150,Options,Call,NIFTY,18300.0,50
857.55,2022-12-07 09:00:00,NFO,23-FEB-2023,857.55,857.55,857.55,100,Options,Call,NIFTY,18300.0,50
830.0,2022-12-07 13:00:00,NFO,23-FEB-2023,830.0,830.0,830.0,100,Options,Call,NIFTY,18300.0,100
808.25,2022-12-07 14:00:00,NFO,23-FEB-2023,811.0,808.25,811.0,500,Options,Call,NIFTY,18300.0,400
797.0,2022-12-07 15:00:00,NFO,23-FEB-2023,797.0,797.0,797.0,550,Options,Call,NIFTY,18300.0,50
794.0,2022-12-08 09:00:00,NFO,23-FEB-2023,794.0,792.0,792.0,550,Options,Call,NIFTY,18300.0,800
827.15,2022-12-08 10:00:00,NFO,23-FEB-2023,827.15,827.15,827.15,1350,Options,Call,NIFTY,18300.0,100
807.0,2022-12-08 10:30:00,NFO,23-FEB-2023,807.0,807.0,807.0,1350,Options,Call,NIFTY,18300.0,100
796.1,2022-12-09 11:30:00,NFO,23-FEB-2023,796.1,793.0,793.0,1250,Options,Call,NIFTY,18300.0,100
802.9,2022-12-09 12:00:00,NFO,23-FEB-2023,802.9,802.9,802.9,1300,Options,Call,NIFTY,18300.0,50
715.0,2022-12-09 14:00:00,NFO,23-FEB-2023,715.0,715.0,715.0,1350,Options,Call,NIFTY,18300.0,50
735.0,2022-12-09 15:00:00,NFO,23-FEB-2023,735.0,735.0,735.0,1350,Options,Call,NIFTY,18300.0,50
662.05,2022-12-12 09:00:00,NFO,23-FEB-2023,685.0,662.05,685.0,1900,Options,Call,NIFTY,18300.0,600
716.85,2022-12-12 09:30:00,NFO,23-FEB-2023,716.85,700.9,700.95,2000,Options,Call,NIFTY,18300.0,200
708.15,2022-12-12 14:00:00,NFO,23-FEB-2023,709.2,708.15,709.2,2050,Options,Call,NIFTY,18300.0,100
708.05,2022-12-12 14:30:00,NFO,23-FEB-2023,708.05,708.05,708.05,2050,Options,Call,NIFTY,18300.0,50
746.95,2022-12-13 09:30:00,NFO,23-FEB-2023,746.95,746.95,746.95,2050,Options,Call,NIFTY,18300.0,50
795.95,2022-12-13 13:30:00,NFO,23-FEB-2023,795.95,795.95,795.95,2100,Options,Call,NIFTY,18300.0,50
795.95,2022-12-13 15:00:00,NFO,23-FEB-2023,795.95,795.95,795.95,2150,Options,Call,NIFTY,18300.0,50
848.3,2022-12-14 10:00:00,NFO,23-FEB-2023,848.3,848.3,848.3,2150,Options,Call,NIFTY,18300.0,50
833.15,2022-12-14 14:30:00,NFO,23-FEB-2023,833.15,824.0,824.0,2200,Options,Call,NIFTY,18300.0,300
740.0,2022-12-15 12:00:00,NFO,23-FEB-2023,740.0,740.0,740.0,2400,Options,Call,NIFTY,18300.0,50
720.0,2022-12-15 12:30:00,NFO,23-FEB-2023,720.0,720.0,720.0,2400,Options,Call,NIFTY,18300.0,50
715.0,2022-12-15 13:30:00,NFO,23-FEB-2023,720.0,715.0,720.0,2600,Options,Call,NIFTY,18300.0,250
661.0,2022-12-15 14:30:00,NFO,23-FEB-2023,661.0,661.0,661.0,2550,Options,Call,NIFTY,18300.0,50
651.0,2022-12-15 15:00:00,NFO,23-FEB-2023,666.0,645.0,666.0,2500,Options,Call,NIFTY,18300.0,600
639.45,2022-12-16 09:00:00,NFO,23-FEB-2023,639.45,598.2,610.0,2850,Options,Call,NIFTY,18300.0,900
623.0,2022-12-16 09:30:00,NFO,23-FEB-2023,654.55,622.0,648.0,2850,Options,Call,NIFTY,18300.0,750
588.1,2022-12-16 10:00:00,NFO,23-FEB-2023,618.0,584.5,618.0,2350,Options,Call,NIFTY,18300.0,2100
576.7,2022-12-16 10:30:00,NFO,23-FEB-2023,600.0,572.0,595.25,2450,Options,Call,NIFTY,18300.0,900
599.0,2022-12-16 11:00:00,NFO,23-FEB-2023,601.85,573.2,573.8,3000,Options,Call,NIFTY,18300.0,1950
589.0,2022-12-16 11:30:00,NFO,23-FEB-2023,608.0,589.0,608.0,3150,Options,Call,NIFTY,18300.0,450
618.0,2022-12-16 12:00:00,NFO,23-FEB-2023,625.0,584.0,584.0,3050,Options,Call,NIFTY,18300.0,1500
633.0,2022-12-16 12:30:00,NFO,23-FEB-2023,649.4,630.0,630.0,3350,Options,Call,NIFTY,18300.0,900
613.0,2022-12-16 13:00:00,NFO,23-FEB-2023,630.0,613.0,630.0,3700,Options,Call,NIFTY,18300.0,1300
587.25,2022-12-16 13:30:00,NFO,23-FEB-2023,618.0,587.25,618.0,4250,Options,Call,NIFTY,18300.0,600
570.0,2022-12-16 14:00:00,NFO,23-FEB-2023,590.0,563.25,588.0,6600,Options,Call,NIFTY,18300.0,3450
574.1,2022-12-16 14:30:00,NFO,23-FEB-2023,578.45,562.0,574.25,7350,Options,Call,NIFTY,18300.0,1700
559.8,2022-12-16 15:00:00,NFO,23-FEB-2023,583.0,557.95,583.0,7650,Options,Call,NIFTY,18300.0,1750
572.55,2022-12-19 09:00:00,NFO,23-FEB-2023,575.85,569.9,573.0,8300,Options,Call,NIFTY,18300.0,1400
591.0,2022-12-19 09:30:00,NFO,23-FEB-2023,591.0,582.0,582.0,8450,Options,Call,NIFTY,18300.0,1450
609.9,2022-12-19 10:00:00,NFO,23-FEB-2023,609.9,590.95,590.95,8600,Options,Call,NIFTY,18300.0,900
591.0,2022-12-19 10:30:00,NFO,23-FEB-2023,609.9,591.0,609.9,8650,Options,Call,NIFTY,18300.0,150
591.0,2022-12-19 11:00:00,NFO,23-FEB-2023,591.0,591.0,591.0,8600,Options,Call,NIFTY,18300.0,50
621.25,2022-12-19 11:30:00,NFO,23-FEB-2023,621.25,618.0,619.2,8500,Options,Call,NIFTY,18300.0,400
629.65,2022-12-19 12:00:00,NFO,23-FEB-2023,636.0,628.45,636.0,9000,Options,Call,NIFTY,18300.0,600
619.0,2022-12-19 12:30:00,NFO,23-FEB-2023,619.0,619.0,619.0,9000,Options,Call,NIFTY,18300.0,500
608.4,2022-12-19 13:00:00,NFO,23-FEB-2023,608.4,608.4,608.4,9450,Options,Call,NIFTY,18300.0,50
