close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
50.8,2023-05-15 14:00:00,NFO,28-JUN-2023,83.05,50.0,83.05,4700,Options,Call,NIFTY,19200.0,6050
51.5,2023-05-15 14:30:00,NFO,28-JUN-2023,51.75,50.25,50.8,6700,Options,Call,NIFTY,19200.0,8400
44.6,2023-05-15 15:00:00,NFO,28-JUN-2023,51.5,44.6,51.5,13000,Options,Call,NIFTY,19200.0,10350
48.3,2023-05-16 09:00:00,NFO,28-JUN-2023,48.3,44.6,44.6,26500,Options,Call,NIFTY,19200.0,18100
48.25,2023-05-16 09:30:00,NFO,28-JUN-2023,49.1,44.95,48.5,30800,Options,Call,NIFTY,19200.0,13000
46.55,2023-05-16 10:00:00,NFO,28-JUN-2023,49.15,46.05,48.25,38600,Options,Call,NIFTY,19200.0,16650
45.85,2023-05-16 10:30:00,NFO,28-JUN-2023,46.65,44.85,46.55,42550,Options,Call,NIFTY,19200.0,9250
43.55,2023-05-16 11:00:00,NFO,28-JUN-2023,46.8,43.15,45.85,44300,Options,Call,NIFTY,19200.0,7050
42.4,2023-05-16 11:30:00,NFO,28-JUN-2023,43.55,41.95,43.55,49000,Options,Call,NIFTY,19200.0,7900
42.9,2023-05-16 12:00:00,NFO,28-JUN-2023,43.5,41.9,42.4,48050,Options,Call,NIFTY,19200.0,5850
43.0,2023-05-16 12:30:00,NFO,28-JUN-2023,43.5,41.5,42.9,44850,Options,Call,NIFTY,19200.0,5700
42.1,2023-05-16 13:00:00,NFO,28-JUN-2023,44.8,41.95,43.0,43600,Options,Call,NIFTY,19200.0,6250
42.65,2023-05-16 13:30:00,NFO,28-JUN-2023,43.0,40.9,42.1,50700,Options,Call,NIFTY,19200.0,11200
40.95,2023-05-16 14:00:00,NFO,28-JUN-2023,42.65,38.6,42.65,53200,Options,Call,NIFTY,19200.0,8200
38.85,2023-05-16 14:30:00,NFO,28-JUN-2023,41.0,38.1,40.95,54500,Options,Call,NIFTY,19200.0,8650
34.8,2023-05-16 15:00:00,NFO,28-JUN-2023,38.85,34.6,38.85,69750,Options,Call,NIFTY,19200.0,40700
31.65,2023-05-17 09:00:00,NFO,28-JUN-2023,35.2,31.55,34.8,72050,Options,Call,NIFTY,19200.0,22300
29.25,2023-05-17 09:30:00,NFO,28-JUN-2023,32.35,28.75,31.45,82950,Options,Call,NIFTY,19200.0,24200
26.25,2023-05-17 10:00:00,NFO,28-JUN-2023,29.3,26.25,29.25,91300,Options,Call,NIFTY,19200.0,21900
25.25,2023-05-17 10:30:00,NFO,28-JUN-2023,26.3,25.15,26.25,93450,Options,Call,NIFTY,19200.0,24900
25.5,2023-05-17 11:00:00,NFO,28-JUN-2023,26.25,24.6,25.25,95500,Options,Call,NIFTY,19200.0,13450
22.6,2023-05-17 11:30:00,NFO,28-JUN-2023,25.5,22.3,25.5,97150,Options,Call,NIFTY,19200.0,23550
23.45,2023-05-17 12:00:00,NFO,28-JUN-2023,23.75,21.9,22.6,103950,Options,Call,NIFTY,19200.0,24700
22.4,2023-05-17 12:30:00,NFO,28-JUN-2023,24.4,22.15,23.55,113800,Options,Call,NIFTY,19200.0,19100
22.7,2023-05-17 13:00:00,NFO,28-JUN-2023,22.8,22.05,22.4,113950,Options,Call,NIFTY,19200.0,16700
23.0,2023-05-17 13:30:00,NFO,28-JUN-2023,23.25,22.35,22.7,135350,Options,Call,NIFTY,19200.0,33450
22.9,2023-05-17 14:00:00,NFO,28-JUN-2023,23.5,22.25,23.0,133850,Options,Call,NIFTY,19200.0,10000
23.3,2023-05-17 14:30:00,NFO,28-JUN-2023,24.05,22.8,22.9,150150,Options,Call,NIFTY,19200.0,35050
22.85,2023-05-17 15:00:00,NFO,28-JUN-2023,24.25,22.85,23.5,155950,Options,Call,NIFTY,19200.0,35050
26.25,2023-05-18 09:00:00,NFO,28-JUN-2023,27.35,23.6,23.6,152700,Options,Call,NIFTY,19200.0,12600
23.9,2023-05-18 09:30:00,NFO,28-JUN-2023,26.25,23.75,26.25,159100,Options,Call,NIFTY,19200.0,29550
23.4,2023-05-18 10:00:00,NFO,28-JUN-2023,23.95,22.8,23.9,165000,Options,Call,NIFTY,19200.0,10600
23.15,2023-05-18 10:30:00,NFO,28-JUN-2023,23.4,22.35,23.4,169400,Options,Call,NIFTY,19200.0,15600
23.25,2023-05-18 11:00:00,NFO,28-JUN-2023,23.95,22.9,23.15,176100,Options,Call,NIFTY,19200.0,14250
22.95,2023-05-18 11:30:00,NFO,28-JUN-2023,23.4,22.55,23.25,180450,Options,Call,NIFTY,19200.0,9550
21.95,2023-05-18 12:00:00,NFO,28-JUN-2023,23.2,21.4,22.95,180250,Options,Call,NIFTY,19200.0,5900
21.0,2023-05-18 12:30:00,NFO,28-JUN-2023,22.45,20.9,21.95,185100,Options,Call,NIFTY,19200.0,13850
21.05,2023-05-18 13:00:00,NFO,28-JUN-2023,21.75,20.5,21.0,188250,Options,Call,NIFTY,19200.0,10000
20.3,2023-05-18 13:30:00,NFO,28-JUN-2023,21.7,20.0,21.1,187400,Options,Call,NIFTY,19200.0,16200
19.65,2023-05-18 14:00:00,NFO,28-JUN-2023,20.35,19.0,20.3,190200,Options,Call,NIFTY,19200.0,18100
18.35,2023-05-18 14:30:00,NFO,28-JUN-2023,19.65,18.0,19.65,198150,Options,Call,NIFTY,19200.0,25550
15.95,2023-05-18 15:00:00,NFO,28-JUN-2023,18.5,15.75,18.4,203300,Options,Call,NIFTY,19200.0,57900
15.55,2023-05-19 09:00:00,NFO,28-JUN-2023,17.5,14.5,15.95,206900,Options,Call,NIFTY,19200.0,59550
13.7,2023-05-19 09:30:00,NFO,28-JUN-2023,15.6,13.45,15.55,195400,Options,Call,NIFTY,19200.0,48400
13.65,2023-05-19 10:00:00,NFO,28-JUN-2023,13.85,13.25,13.7,183500,Options,Call,NIFTY,19200.0,27550
13.85,2023-05-19 10:30:00,NFO,28-JUN-2023,13.95,13.1,13.65,185950,Options,Call,NIFTY,19200.0,32750
15.15,2023-05-19 11:00:00,NFO,28-JUN-2023,16.0,13.8,13.85,197950,Options,Call,NIFTY,19200.0,40050
15.0,2023-05-19 11:30:00,NFO,28-JUN-2023,15.2,14.4,15.15,203850,Options,Call,NIFTY,19200.0,17350
14.65,2023-05-19 12:00:00,NFO,28-JUN-2023,15.2,14.35,15.0,210150,Options,Call,NIFTY,19200.0,18300
13.8,2023-05-19 12:30:00,NFO,28-JUN-2023,14.65,13.5,14.65,219650,Options,Call,NIFTY,19200.0,48150
14.25,2023-05-19 13:00:00,NFO,28-JUN-2023,14.5,13.7,13.8,220650,Options,Call,NIFTY,19200.0,14300
14.65,2023-05-19 13:30:00,NFO,28-JUN-2023,14.95,13.7,14.25,223150,Options,Call,NIFTY,19200.0,10750
15.0,2023-05-19 14:00:00,NFO,28-JUN-2023,15.55,14.35,14.65,234650,Options,Call,NIFTY,19200.0,30900
15.65,2023-05-19 14:30:00,NFO,28-JUN-2023,15.75,14.5,15.0,238000,Options,Call,NIFTY,19200.0,35050
15.1,2023-05-19 15:00:00,NFO,28-JUN-2023,15.85,14.85,15.85,242400,Options,Call,NIFTY,19200.0,46000
17.1,2023-05-22 09:00:00,NFO,28-JUN-2023,17.35,14.25,15.1,252700,Options,Call,NIFTY,19200.0,39450
17.5,2023-05-22 09:30:00,NFO,28-JUN-2023,18.7,16.8,17.1,260050,Options,Call,NIFTY,19200.0,50450
16.95,2023-05-22 10:00:00,NFO,28-JUN-2023,17.45,15.05,17.45,266800,Options,Call,NIFTY,19200.0,29850
18.65,2023-05-22 10:30:00,NFO,28-JUN-2023,18.65,16.75,16.95,269500,Options,Call,NIFTY,19200.0,19150
18.55,2023-05-22 11:00:00,NFO,28-JUN-2023,19.05,17.9,18.7,278300,Options,Call,NIFTY,19200.0,37750
19.2,2023-05-22 11:30:00,NFO,28-JUN-2023,19.45,17.95,18.55,281150,Options,Call,NIFTY,19200.0,9500
19.0,2023-05-22 12:00:00,NFO,28-JUN-2023,21.15,18.5,19.2,305400,Options,Call,NIFTY,19200.0,75000
18.6,2023-05-22 12:30:00,NFO,28-JUN-2023,19.0,17.65,19.0,309300,Options,Call,NIFTY,19200.0,24550
17.3,2023-05-22 13:00:00,NFO,28-JUN-2023,18.85,16.8,18.6,311300,Options,Call,NIFTY,19200.0,22600
17.8,2023-05-22 13:30:00,NFO,28-JUN-2023,17.95,15.85,17.1,311200,Options,Call,NIFTY,19200.0,17150
18.2,2023-05-22 14:00:00,NFO,28-JUN-2023,19.05,17.7,17.8,313050,Options,Call,NIFTY,19200.0,17150
18.0,2023-05-22 14:30:00,NFO,28-JUN-2023,18.75,17.5,18.2,316500,Options,Call,NIFTY,19200.0,21300
16.8,2023-05-22 15:00:00,NFO,28-JUN-2023,18.85,16.35,18.0,328600,Options,Call,NIFTY,19200.0,44050
20.0,2023-05-23 09:00:00,NFO,28-JUN-2023,20.65,16.8,16.8,348000,Options,Call,NIFTY,19200.0,116850
20.8,2023-05-23 09:30:00,NFO,28-JUN-2023,21.45,20.05,20.1,403750,Options,Call,NIFTY,19200.0,107150
20.8,2023-05-23 10:00:00,NFO,28-JUN-2023,20.95,19.5,20.8,451500,Options,Call,NIFTY,19200.0,104150
21.5,2023-05-23 10:30:00,NFO,28-JUN-2023,21.9,20.4,20.8,470250,Options,Call,NIFTY,19200.0,56750
21.3,2023-05-23 11:00:00,NFO,28-JUN-2023,22.25,20.9,21.5,472700,Options,Call,NIFTY,19200.0,48550
21.55,2023-05-23 11:30:00,NFO,28-JUN-2023,22.25,20.65,21.3,484600,Options,Call,NIFTY,19200.0,39650
22.2,2023-05-23 12:00:00,NFO,28-JUN-2023,22.45,21.4,21.55,488850,Options,Call,NIFTY,19200.0,27650
22.75,2023-05-23 12:30:00,NFO,28-JUN-2023,22.75,21.65,22.3,487250,Options,Call,NIFTY,19200.0,16600
21.8,2023-05-23 13:00:00,NFO,28-JUN-2023,23.1,21.0,22.75,491250,Options,Call,NIFTY,19200.0,21200
22.5,2023-05-23 13:30:00,NFO,28-JUN-2023,22.6,21.45,21.8,498800,Options,Call,NIFTY,19200.0,23800
21.85,2023-05-23 14:00:00,NFO,28-JUN-2023,22.5,21.5,22.5,523500,Options,Call,NIFTY,19200.0,48700
20.0,2023-05-23 14:30:00,NFO,28-JUN-2023,22.05,18.65,21.85,523950,Options,Call,NIFTY,19200.0,34500
18.0,2023-05-23 15:00:00,NFO,28-JUN-2023,20.0,17.15,20.0,543200,Options,Call,NIFTY,19200.0,98050
16.55,2023-05-24 09:00:00,NFO,28-JUN-2023,16.95,14.85,15.65,524250,Options,Call,NIFTY,19200.0,55950
18.9,2023-05-24 09:30:00,NFO,28-JUN-2023,19.3,16.55,16.55,534650,Options,Call,NIFTY,19200.0,81800
19.1,2023-05-24 10:00:00,NFO,28-JUN-2023,20.35,18.5,18.95,557400,Options,Call,NIFTY,19200.0,58450
21.05,2023-05-24 10:30:00,NFO,28-JUN-2023,21.45,19.1,19.1,564300,Options,Call,NIFTY,19200.0,48800
20.65,2023-05-24 11:00:00,NFO,28-JUN-2023,21.5,20.0,21.05,595700,Options,Call,NIFTY,19200.0,56300
19.9,2023-05-24 11:30:00,NFO,28-JUN-2023,20.7,19.1,20.65,599950,Options,Call,NIFTY,19200.0,23850
18.1,2023-05-24 12:00:00,NFO,28-JUN-2023,19.9,17.8,19.9,604000,Options,Call,NIFTY,19200.0,37900
18.15,2023-05-24 12:30:00,NFO,28-JUN-2023,18.25,17.5,18.0,585650,Options,Call,NIFTY,19200.0,57150
17.05,2023-05-24 13:00:00,NFO,28-JUN-2023,18.15,16.8,18.15,584250,Options,Call,NIFTY,19200.0,34450
17.0,2023-05-24 13:30:00,NFO,28-JUN-2023,18.25,16.7,17.05,586350,Options,Call,NIFTY,19200.0,17200
17.0,2023-05-24 14:00:00,NFO,28-JUN-2023,17.45,16.5,16.9,589800,Options,Call,NIFTY,19200.0,26700
14.85,2023-05-24 14:30:00,NFO,28-JUN-2023,17.7,14.6,17.0,588900,Options,Call,NIFTY,19200.0,108250
15.0,2023-05-24 15:00:00,NFO,28-JUN-2023,15.45,14.75,14.75,585650,Options,Call,NIFTY,19200.0,67700
14.45,2023-05-25 09:00:00,NFO,28-JUN-2023,15.1,13.95,15.0,584400,Options,Call,NIFTY,19200.0,28800
14.65,2023-05-25 09:30:00,NFO,28-JUN-2023,15.6,13.65,14.5,569700,Options,Call,NIFTY,19200.0,91150
13.8,2023-05-25 10:00:00,NFO,28-JUN-2023,15.05,13.75,14.65,575250,Options,Call,NIFTY,19200.0,58500
14.2,2023-05-25 10:30:00,NFO,28-JUN-2023,14.35,13.15,13.8,599400,Options,Call,NIFTY,19200.0,177900
13.2,2023-05-25 11:00:00,NFO,28-JUN-2023,14.25,13.2,14.2,591600,Options,Call,NIFTY,19200.0,56700
12.8,2023-05-25 11:30:00,NFO,28-JUN-2023,13.2,12.7,13.2,588200,Options,Call,NIFTY,19200.0,46250
13.25,2023-05-25 12:00:00,NFO,28-JUN-2023,13.45,12.25,12.7,594150,Options,Call,NIFTY,19200.0,22250
12.7,2023-05-25 12:30:00,NFO,28-JUN-2023,13.25,12.55,13.25,593950,Options,Call,NIFTY,19200.0,11850
12.55,2023-05-25 13:00:00,NFO,28-JUN-2023,13.15,12.15,12.7,582300,Options,Call,NIFTY,19200.0,35250
13.6,2023-05-25 13:30:00,NFO,28-JUN-2023,13.7,12.25,12.55,589350,Options,Call,NIFTY,19200.0,60700
