close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
88.45,2023-03-22 11:00:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,100
88.45,2023-03-22 11:30:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,0
88.45,2023-03-22 12:00:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,0
88.45,2023-03-22 12:30:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,0
88.45,2023-03-22 13:00:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,0
88.45,2023-03-22 13:30:00,NFO,25-MAY-2023,88.45,88.45,88.45,0,Options,Call,NIFTY,18600.0,0
37.85,2023-03-22 14:00:00,NFO,25-MAY-2023,88.45,37.85,88.45,1500,Options,Call,NIFTY,18600.0,2250
38.0,2023-03-22 14:30:00,NFO,25-MAY-2023,38.45,37.8,37.85,2200,Options,Call,NIFTY,18600.0,500
38.8,2023-03-22 15:00:00,NFO,25-MAY-2023,39.75,38.0,38.0,2200,Options,Call,NIFTY,18600.0,250
34.35,2023-03-23 09:00:00,NFO,25-MAY-2023,38.8,34.35,38.8,2200,Options,Call,NIFTY,18600.0,150
33.8,2023-03-23 09:30:00,NFO,25-MAY-2023,34.35,33.0,34.35,2450,Options,Call,NIFTY,18600.0,250
35.0,2023-03-23 10:00:00,NFO,25-MAY-2023,36.3,33.8,33.8,2550,Options,Call,NIFTY,18600.0,800
35.45,2023-03-23 10:30:00,NFO,25-MAY-2023,45.0,35.0,35.0,4750,Options,Call,NIFTY,18600.0,2500
34.85,2023-03-23 11:00:00,NFO,25-MAY-2023,35.45,34.55,35.45,4800,Options,Call,NIFTY,18600.0,250
34.65,2023-03-23 11:30:00,NFO,25-MAY-2023,35.25,34.65,34.85,5250,Options,Call,NIFTY,18600.0,1600
33.5,2023-03-23 12:00:00,NFO,25-MAY-2023,34.65,33.5,34.65,9500,Options,Call,NIFTY,18600.0,4950
36.2,2023-03-23 12:30:00,NFO,25-MAY-2023,36.75,33.5,33.5,11300,Options,Call,NIFTY,18600.0,2750
34.95,2023-03-23 13:00:00,NFO,25-MAY-2023,36.2,33.3,36.2,11700,Options,Call,NIFTY,18600.0,1300
32.95,2023-03-23 13:30:00,NFO,25-MAY-2023,34.95,32.85,34.95,11900,Options,Call,NIFTY,18600.0,1000
32.1,2023-03-23 14:00:00,NFO,25-MAY-2023,33.9,31.95,32.95,12300,Options,Call,NIFTY,18600.0,800
