close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
9.5,2023-06-28 15:00:00,NFO,27-JUL-2023,32.0,9.1,32.0,500,Options,Call,NIFTY,20100.0,2650
10.5,2023-06-30 09:00:00,NFO,27-JUL-2023,11.25,9.5,9.5,10450,Options,Call,NIFTY,20100.0,23350
9.7,2023-06-30 09:30:00,NFO,27-JUL-2023,10.65,9.7,10.5,21900,Options,Call,NIFTY,20100.0,27850
9.75,2023-06-30 10:00:00,NFO,27-JUL-2023,10.0,9.5,9.7,30200,Options,Call,NIFTY,20100.0,26150
9.45,2023-06-30 10:30:00,NFO,27-JUL-2023,9.75,9.4,9.75,35950,Options,Call,NIFTY,20100.0,13600
8.95,2023-06-30 11:00:00,NFO,27-JUL-2023,9.45,8.75,9.45,36750,Options,Call,NIFTY,20100.0,20650
8.7,2023-06-30 11:30:00,NFO,27-JUL-2023,9.2,8.7,8.95,46500,Options,Call,NIFTY,20100.0,22550
8.3,2023-06-30 12:00:00,NFO,27-JUL-2023,8.85,8.3,8.7,46450,Options,Call,NIFTY,20100.0,14150
8.55,2023-06-30 12:30:00,NFO,27-JUL-2023,8.6,8.25,8.3,48450,Options,Call,NIFTY,20100.0,13000
10.05,2023-06-30 13:00:00,NFO,27-JUL-2023,10.05,8.55,8.55,54500,Options,Call,NIFTY,20100.0,25750
9.7,2023-06-30 13:30:00,NFO,27-JUL-2023,10.15,9.4,10.05,56650,Options,Call,NIFTY,20100.0,31750
9.35,2023-06-30 14:00:00,NFO,27-JUL-2023,9.7,9.2,9.7,77850,Options,Call,NIFTY,20100.0,42450
9.55,2023-06-30 14:30:00,NFO,27-JUL-2023,9.95,9.3,9.35,80200,Options,Call,NIFTY,20100.0,17000
9.3,2023-06-30 15:00:00,NFO,27-JUL-2023,10.35,9.25,9.6,95300,Options,Call,NIFTY,20100.0,74600
11.25,2023-07-03 09:00:00,NFO,27-JUL-2023,12.15,9.95,9.95,162150,Options,Call,NIFTY,20100.0,129450
16.05,2023-07-03 09:30:00,NFO,27-JUL-2023,18.2,11.3,11.4,195200,Options,Call,NIFTY,20100.0,159850
18.35,2023-07-03 10:00:00,NFO,27-JUL-2023,18.4,15.1,16.15,228200,Options,Call,NIFTY,20100.0,200750
