close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
549.1,2021-11-11 10:30:00,NFO,27-JAN-2022,549.1,542.3,542.7,100,Options,Call,NIFTY,17900.0,400
550.0,2021-11-11 11:00:00,NFO,27-JAN-2022,550.0,550.0,550.0,200,Options,Call,NIFTY,17900.0,300
555.0,2021-11-11 11:30:00,NFO,27-JAN-2022,555.0,555.0,555.0,350,Options,Call,NIFTY,17900.0,100
545.95,2021-11-11 12:00:00,NFO,27-JAN-2022,558.0,545.95,558.0,500,Options,Call,NIFTY,17900.0,900
556.65,2021-11-11 13:00:00,NFO,27-JAN-2022,556.65,556.65,556.65,800,Options,Call,NIFTY,17900.0,100
549.35,2021-11-11 13:30:00,NFO,27-JAN-2022,549.35,549.35,549.35,800,Options,Call,NIFTY,17900.0,300
535.0,2021-11-11 14:30:00,NFO,27-JAN-2022,535.0,535.0,535.0,900,Options,Call,NIFTY,17900.0,100
614.8,2021-11-12 13:00:00,NFO,27-JAN-2022,614.8,614.8,614.8,900,Options,Call,NIFTY,17900.0,100
625.2,2021-11-12 13:30:00,NFO,27-JAN-2022,625.2,625.2,625.2,950,Options,Call,NIFTY,17900.0,100
695.0,2021-11-15 09:00:00,NFO,27-JAN-2022,695.0,695.0,695.0,900,Options,Call,NIFTY,17900.0,100
690.0,2021-11-15 10:00:00,NFO,27-JAN-2022,690.0,690.0,690.0,950,Options,Call,NIFTY,17900.0,1000
669.55,2021-11-15 12:00:00,NFO,27-JAN-2022,669.55,669.55,669.55,950,Options,Call,NIFTY,17900.0,100
669.35,2021-11-15 12:30:00,NFO,27-JAN-2022,669.35,669.35,669.35,1450,Options,Call,NIFTY,17900.0,100
653.3,2021-11-15 13:30:00,NFO,27-JAN-2022,653.3,653.3,653.3,1500,Options,Call,NIFTY,17900.0,100
676.25,2021-11-15 14:00:00,NFO,27-JAN-2022,676.25,676.25,676.25,1550,Options,Call,NIFTY,17900.0,100
666.95,2021-11-15 14:30:00,NFO,27-JAN-2022,666.95,654.15,654.15,1600,Options,Call,NIFTY,17900.0,300
665.9,2021-11-15 15:00:00,NFO,27-JAN-2022,665.9,661.05,661.05,1600,Options,Call,NIFTY,17900.0,200
615.9,2021-11-16 11:00:00,NFO,27-JAN-2022,615.9,615.9,615.9,1650,Options,Call,NIFTY,17900.0,200
630.0,2021-11-16 12:30:00,NFO,27-JAN-2022,630.0,628.35,628.35,1750,Options,Call,NIFTY,17900.0,200
653.8,2021-11-16 13:00:00,NFO,27-JAN-2022,653.8,652.7,652.7,1800,Options,Call,NIFTY,17900.0,200
593.9,2021-11-16 14:30:00,NFO,27-JAN-2022,593.9,593.9,593.9,1900,Options,Call,NIFTY,17900.0,100
562.2,2021-11-16 15:00:00,NFO,27-JAN-2022,576.2,562.2,576.2,2050,Options,Call,NIFTY,17900.0,500
539.5,2021-11-17 09:00:00,NFO,27-JAN-2022,544.8,521.25,525.05,6750,Options,Call,NIFTY,17900.0,11300
548.0,2021-11-17 09:30:00,NFO,27-JAN-2022,565.35,533.7,545.0,6750,Options,Call,NIFTY,17900.0,3300
566.9,2021-11-17 10:00:00,NFO,27-JAN-2022,566.9,541.75,541.75,6700,Options,Call,NIFTY,17900.0,900
564.75,2021-11-17 11:00:00,NFO,27-JAN-2022,564.75,564.75,564.75,6700,Options,Call,NIFTY,17900.0,200
545.0,2021-11-17 11:30:00,NFO,27-JAN-2022,558.1,545.0,555.35,6750,Options,Call,NIFTY,17900.0,700
549.3,2021-11-17 12:00:00,NFO,27-JAN-2022,549.3,549.3,549.3,6800,Options,Call,NIFTY,17900.0,100
541.8,2021-11-17 12:30:00,NFO,27-JAN-2022,541.8,541.8,541.8,6800,Options,Call,NIFTY,17900.0,200
551.65,2021-11-17 13:00:00,NFO,27-JAN-2022,555.25,551.65,555.25,6850,Options,Call,NIFTY,17900.0,200
564.9,2021-11-17 13:30:00,NFO,27-JAN-2022,567.85,564.55,567.85,6700,Options,Call,NIFTY,17900.0,600
560.25,2021-11-17 14:00:00,NFO,27-JAN-2022,560.25,554.95,554.95,6700,Options,Call,NIFTY,17900.0,600
527.5,2021-11-17 14:30:00,NFO,27-JAN-2022,547.8,527.5,547.8,6750,Options,Call,NIFTY,17900.0,300
500.0,2021-11-17 15:00:00,NFO,27-JAN-2022,532.6,499.0,532.6,6950,Options,Call,NIFTY,17900.0,1400
506.0,2021-11-18 09:00:00,NFO,27-JAN-2022,506.1,506.0,506.1,7000,Options,Call,NIFTY,17900.0,300
475.0,2021-11-18 09:30:00,NFO,27-JAN-2022,484.4,469.0,480.1,7700,Options,Call,NIFTY,17900.0,2300
440.25,2021-11-18 10:00:00,NFO,27-JAN-2022,455.0,428.15,455.0,8100,Options,Call,NIFTY,17900.0,2100
429.5,2021-11-18 10:30:00,NFO,27-JAN-2022,430.0,425.0,430.0,8200,Options,Call,NIFTY,17900.0,1100
425.3,2021-11-18 11:00:00,NFO,27-JAN-2022,437.0,423.0,437.0,8400,Options,Call,NIFTY,17900.0,1200
408.6,2021-11-18 11:30:00,NFO,27-JAN-2022,425.0,405.1,425.0,8900,Options,Call,NIFTY,17900.0,1700
