close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
966.85,2022-12-13 10:30:00,NFO,23-FEB-2023,966.85,966.85,966.85,0,Options,Call,NIFTY,17600.0,50
835.0,2022-12-23 10:00:00,NFO,23-FEB-2023,835.0,835.0,835.0,0,Options,Call,NIFTY,17600.0,350
789.0,2022-12-23 11:30:00,NFO,23-FEB-2023,810.0,789.0,810.0,500,Options,Call,NIFTY,17600.0,200
764.0,2022-12-23 14:00:00,NFO,23-FEB-2023,764.0,764.0,764.0,500,Options,Call,NIFTY,17600.0,50
775.0,2022-12-23 14:30:00,NFO,23-FEB-2023,783.0,775.0,783.0,500,Options,Call,NIFTY,17600.0,100
729.65,2022-12-23 15:00:00,NFO,23-FEB-2023,741.0,729.65,741.0,500,Options,Call,NIFTY,17600.0,400
769.0,2022-12-26 09:00:00,NFO,23-FEB-2023,769.0,720.0,720.0,1600,Options,Call,NIFTY,17600.0,1250
797.05,2022-12-26 09:30:00,NFO,23-FEB-2023,797.05,792.05,792.05,1750,Options,Call,NIFTY,17600.0,200
795.0,2022-12-26 10:00:00,NFO,23-FEB-2023,796.0,788.0,795.0,1700,Options,Call,NIFTY,17600.0,300
795.0,2022-12-26 10:30:00,NFO,23-FEB-2023,795.0,795.0,795.0,1750,Options,Call,NIFTY,17600.0,50
831.25,2022-12-26 15:00:00,NFO,23-FEB-2023,831.25,826.0,826.0,1650,Options,Call,NIFTY,17600.0,150
910.5,2022-12-27 09:00:00,NFO,23-FEB-2023,910.5,910.5,910.5,1650,Options,Call,NIFTY,17600.0,50
910.5,2022-12-28 11:00:00,NFO,23-FEB-2023,910.5,910.5,910.5,1650,Options,Call,NIFTY,17600.0,50
807.35,2022-12-29 09:30:00,NFO,23-FEB-2023,807.75,803.5,806.0,2550,Options,Call,NIFTY,17600.0,2100
805.75,2022-12-29 10:30:00,NFO,23-FEB-2023,807.35,805.75,807.35,3050,Options,Call,NIFTY,17600.0,100
805.0,2022-12-29 11:00:00,NFO,23-FEB-2023,805.0,805.0,805.0,3100,Options,Call,NIFTY,17600.0,50
970.0,2022-12-30 09:30:00,NFO,23-FEB-2023,970.0,970.0,970.0,3150,Options,Call,NIFTY,17600.0,50
948.0,2022-12-30 10:00:00,NFO,23-FEB-2023,983.3,948.0,983.3,3150,Options,Call,NIFTY,17600.0,100
924.0,2022-12-30 11:30:00,NFO,23-FEB-2023,926.0,924.0,926.0,3200,Options,Call,NIFTY,17600.0,650
924.6,2022-12-30 12:00:00,NFO,23-FEB-2023,924.6,924.6,924.6,3250,Options,Call,NIFTY,17600.0,50
941.0,2022-12-30 12:30:00,NFO,23-FEB-2023,941.0,924.0,924.0,3350,Options,Call,NIFTY,17600.0,100
908.45,2022-12-30 13:00:00,NFO,23-FEB-2023,908.45,907.5,907.5,3450,Options,Call,NIFTY,17600.0,100
898.8,2022-12-30 13:30:00,NFO,23-FEB-2023,911.1,898.8,911.1,3550,Options,Call,NIFTY,17600.0,100
916.15,2022-12-30 14:00:00,NFO,23-FEB-2023,916.15,901.9,901.9,3550,Options,Call,NIFTY,17600.0,100
909.5,2022-12-30 14:30:00,NFO,23-FEB-2023,920.05,909.5,920.05,3650,Options,Call,NIFTY,17600.0,100
866.4,2022-12-30 15:00:00,NFO,23-FEB-2023,898.35,866.4,898.35,3750,Options,Call,NIFTY,17600.0,150
863.25,2023-01-02 09:00:00,NFO,23-FEB-2023,863.25,863.25,863.25,3800,Options,Call,NIFTY,17600.0,100
880.8,2023-01-02 10:00:00,NFO,23-FEB-2023,880.8,872.0,872.2,4150,Options,Call,NIFTY,17600.0,850
880.0,2023-01-02 10:30:00,NFO,23-FEB-2023,880.0,880.0,880.0,4200,Options,Call,NIFTY,17600.0,50
893.45,2023-01-02 11:00:00,NFO,23-FEB-2023,893.45,893.45,893.45,4250,Options,Call,NIFTY,17600.0,50
888.45,2023-01-02 11:30:00,NFO,23-FEB-2023,888.45,888.45,888.45,4250,Options,Call,NIFTY,17600.0,50
890.9,2023-01-02 12:00:00,NFO,23-FEB-2023,890.9,890.9,890.9,4250,Options,Call,NIFTY,17600.0,50
875.0,2023-01-02 12:30:00,NFO,23-FEB-2023,880.0,875.0,880.0,4350,Options,Call,NIFTY,17600.0,150
900.0,2023-01-03 10:00:00,NFO,23-FEB-2023,900.0,900.0,900.0,4400,Options,Call,NIFTY,17600.0,50
874.8,2023-01-03 12:30:00,NFO,23-FEB-2023,874.8,874.8,874.8,4400,Options,Call,NIFTY,17600.0,50
891.4,2023-01-04 09:00:00,NFO,23-FEB-2023,891.4,885.65,885.65,4450,Options,Call,NIFTY,17600.0,200
897.45,2023-01-04 09:30:00,NFO,23-FEB-2023,902.2,897.45,902.2,4450,Options,Call,NIFTY,17600.0,250
823.65,2023-01-04 10:00:00,NFO,23-FEB-2023,831.45,818.75,818.75,4550,Options,Call,NIFTY,17600.0,250
832.1,2023-01-04 10:30:00,NFO,23-FEB-2023,836.1,832.1,836.1,4550,Options,Call,NIFTY,17600.0,200
811.4,2023-01-04 11:30:00,NFO,23-FEB-2023,811.4,811.4,811.4,4550,Options,Call,NIFTY,17600.0,50
798.35,2023-01-04 12:30:00,NFO,23-FEB-2023,798.35,782.7,782.7,4650,Options,Call,NIFTY,17600.0,150
806.15,2023-01-04 13:30:00,NFO,23-FEB-2023,806.15,804.05,804.05,4700,Options,Call,NIFTY,17600.0,200
773.6,2023-01-04 14:30:00,NFO,23-FEB-2023,789.2,773.55,789.2,4750,Options,Call,NIFTY,17600.0,150
762.95,2023-01-04 15:00:00,NFO,23-FEB-2023,774.0,758.85,774.0,5850,Options,Call,NIFTY,17600.0,1150
791.6,2023-01-05 09:00:00,NFO,23-FEB-2023,791.8,785.4,785.4,5900,Options,Call,NIFTY,17600.0,150
816.0,2023-01-05 09:30:00,NFO,23-FEB-2023,823.75,798.35,798.35,6150,Options,Call,NIFTY,17600.0,350
796.0,2023-01-05 10:00:00,NFO,23-FEB-2023,796.0,752.8,758.15,6150,Options,Call,NIFTY,17600.0,300
758.5,2023-01-05 10:30:00,NFO,23-FEB-2023,787.9,758.5,787.9,6200,Options,Call,NIFTY,17600.0,550
