www.gocharting.com

date,open,high,low,close,volume,open_interest
"Mon Aug 28 2023 10:15:00 GMT+0530 (India Standard Time)","42.15","46.6","41.1","45.7","38445","131115",
"Mon Aug 28 2023 10:30:00 GMT+0530 (India Standard Time)","45.7","48.85","43.2","43.7","49575","140055",
"Mon Aug 28 2023 10:45:00 GMT+0530 (India Standard Time)","43.9","46.4","43.05","43.7","17505","141495",
"Mon Aug 28 2023 11:00:00 GMT+0530 (India Standard Time)","43.8","46.3","43.65","46.3","12180","145395",
"Mon Aug 28 2023 11:15:00 GMT+0530 (India Standard Time)","46.25","54.55","45.35","52.1","84750","154950",
"Mon Aug 28 2023 11:30:00 GMT+0530 (India Standard Time)","52.15","54.25","48","52.6","45570","156975",
"Mon Aug 28 2023 11:45:00 GMT+0530 (India Standard Time)","52.3","52.65","45.95","49.35","47160","153690",
"Mon Aug 28 2023 12:00:00 GMT+0530 (India Standard Time)","49.45","50.55","46","48.25","19020","151035",
"Mon Aug 28 2023 12:15:00 GMT+0530 (India Standard Time)","47.95","49.5","47.25","48.25","8775","149250",
"Mon Aug 28 2023 12:30:00 GMT+0530 (India Standard Time)","48","59.55","48","58.8","75090","153570",
"Mon Aug 28 2023 12:45:00 GMT+0530 (India Standard Time)","58.8","61.6","55.45","57.95","39015","157785",
"Mon Aug 28 2023 13:00:00 GMT+0530 (India Standard Time)","58.4","63","56.45","58.2","27990","155805",
"Mon Aug 28 2023 13:15:00 GMT+0530 (India Standard Time)","58.2","61.15","55.45","57.95","30675","152460",
"Mon Aug 28 2023 13:30:00 GMT+0530 (India Standard Time)","56.9","60.05","56.6","58.5","18795","151380",
"Mon Aug 28 2023 13:45:00 GMT+0530 (India Standard Time)","58","59.7","56.25","58.15","25200","145815",
"Mon Aug 28 2023 14:00:00 GMT+0530 (India Standard Time)","58.05","68.75","57.5","58.4","62280","146040",
"Mon Aug 28 2023 14:15:00 GMT+0530 (India Standard Time)","56.6","58.4","46.05","50.1","99135","154620",
"Mon Aug 28 2023 14:30:00 GMT+0530 (India Standard Time)","49.9","53.95","49.7","53.3","31695","149520",
"Mon Aug 28 2023 14:45:00 GMT+0530 (India Standard Time)","53.35","54.65","51.35","54.3","29100","155880",
"Mon Aug 28 2023 15:00:00 GMT+0530 (India Standard Time)","54.15","55.35","46","48.05","84495","156105",
