www.gocharting.com

date,open,high,low,close,volume,open_interest
"Tue Jul 25 2023 10:50:00 GMT+0530 (India Standard Time)","392.6","392.6","392.6","392.6","75","2190",
"Tue Jul 25 2023 11:00:00 GMT+0530 (India Standard Time)","372.6","372.6","372.6","372.6","15","2265",
"Tue Jul 25 2023 11:40:00 GMT+0530 (India Standard Time)","357.55","357.55","343.95","343.95","60","2280",
"Tue Jul 25 2023 11:55:00 GMT+0530 (India Standard Time)","335.3","335.3","335.3","335.3","120","2340",
"Tue Jul 25 2023 12:05:00 GMT+0530 (India Standard Time)","334","334","334","334","15","2340",
"Tue Jul 25 2023 12:25:00 GMT+0530 (India Standard Time)","334","365.7","334","365.7","360","2355",
"Tue Jul 25 2023 12:30:00 GMT+0530 (India Standard Time)","357","365","357","365","45","2655",
"Tue Jul 25 2023 12:40:00 GMT+0530 (India Standard Time)","381.8","381.8","351","355.75","45","2655",
"Tue Jul 25 2023 12:55:00 GMT+0530 (India Standard Time)","347.6","347.6","347.6","347.6","15","2670",
"Tue Jul 25 2023 13:10:00 GMT+0530 (India Standard Time)","347.7","347.7","345.75","345.75","75","2670",
"Tue Jul 25 2023 13:15:00 GMT+0530 (India Standard Time)","334","334","334","334","60","2745",
"Tue Jul 25 2023 13:25:00 GMT+0530 (India Standard Time)","329.65","329.65","329.65","329.65","15","2790",
"Tue Jul 25 2023 13:35:00 GMT+0530 (India Standard Time)","300","300","300","300","750","2790",
"Tue Jul 25 2023 13:40:00 GMT+0530 (India Standard Time)","300","300","299.9","299.9","135","3540",
"Tue Jul 25 2023 13:45:00 GMT+0530 (India Standard Time)","299.9","304.1","299.9","304.1","120","3600",
"Tue Jul 25 2023 13:50:00 GMT+0530 (India Standard Time)","308.95","308.95","308.95","308.95","285","3615",
"Tue Jul 25 2023 13:55:00 GMT+0530 (India Standard Time)","294.7","305","293.5","305","105","3915",
"Tue Jul 25 2023 14:00:00 GMT+0530 (India Standard Time)","300.3","308.15","300.3","306.9","45","3930",
"Tue Jul 25 2023 14:05:00 GMT+0530 (India Standard Time)","305","305","284.7","284.7","90","3975",
"Tue Jul 25 2023 14:10:00 GMT+0530 (India Standard Time)","284.7","300.6","284.7","300.6","60","3990",
"Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time)","306","306","306","306","510","3975",
"Tue Jul 25 2023 14:20:00 GMT+0530 (India Standard Time)","319.2","320","319.2","320","45","3555",
"Tue Jul 25 2023 14:30:00 GMT+0530 (India Standard Time)","336.75","350","336.75","350","150","3495",
"Tue Jul 25 2023 14:45:00 GMT+0530 (India Standard Time)","343.45","343.45","343.45","343.45","15","3480",
"Tue Jul 25 2023 14:50:00 GMT+0530 (India Standard Time)","360","360","360","360","30","3480",
"Tue Jul 25 2023 14:55:00 GMT+0530 (India Standard Time)","360","366.5","349.85","349.85","45","3435",
"Tue Jul 25 2023 15:00:00 GMT+0530 (India Standard Time)","368","368","347.05","347.05","45","3420",
"Tue Jul 25 2023 15:05:00 GMT+0530 (India Standard Time)","343.45","343.45","343.45","343.45","135","3465",
"Tue Jul 25 2023 15:25:00 GMT+0530 (India Standard Time)","357.15","362.25","357.15","362.25","90","3450",
"Wed Jul 26 2023 09:15:00 GMT+0530 (India Standard Time)","351.4","351.4","342","342","241","3435",
"Wed Jul 26 2023 09:20:00 GMT+0530 (India Standard Time)","340","340","340","340","15","3645",
"Wed Jul 26 2023 09:25:00 GMT+0530 (India Standard Time)","340","340","340","340","15","3645",
"Wed Jul 26 2023 09:30:00 GMT+0530 (India Standard Time)","351.45","351.45","351.45","351.45","285","3660",
"Wed Jul 26 2023 09:40:00 GMT+0530 (India Standard Time)","330.15","332","330.05","330.05","105","3960",
"Wed Jul 26 2023 09:50:00 GMT+0530 (India Standard Time)","342.05","348","342","348","345","4080",
"Wed Jul 26 2023 09:55:00 GMT+0530 (India Standard Time)","349","349","349","349","30","4095",
"Wed Jul 26 2023 10:00:00 GMT+0530 (India Standard Time)","352.9","352.9","352.9","352.9","15","4125",
"Wed Jul 26 2023 10:10:00 GMT+0530 (India Standard Time)","361.6","372.25","361.6","372.25","1335","4500",
"Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time)","373.25","373.25","367.65","367.65","210","4545",
"Wed Jul 26 2023 10:20:00 GMT+0530 (India Standard Time)","368.85","368.85","368.85","368.85","15","4590",
"Wed Jul 26 2023 10:25:00 GMT+0530 (India Standard Time)","368.85","368.85","368.85","368.85","15","4605",
"Wed Jul 26 2023 10:30:00 GMT+0530 (India Standard Time)","376.65","376.65","373.45","373.45","120","4590",
"Wed Jul 26 2023 10:35:00 GMT+0530 (India Standard Time)","373.45","373.45","373.45","373.45","15","4665",
"Wed Jul 26 2023 10:40:00 GMT+0530 (India Standard Time)","376.6","376.6","376.6","376.6","75","4680",
"Wed Jul 26 2023 10:45:00 GMT+0530 (India Standard Time)","374.25","374.25","361.8","368.4","165","4725",
"Wed Jul 26 2023 10:50:00 GMT+0530 (India Standard Time)","368","368","368","368","15","4725",
"Wed Jul 26 2023 11:10:00 GMT+0530 (India Standard Time)","353.35","353.95","353.35","353.95","90","4740",
"Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time)","350.35","350.35","343.3","344.5","240","4590",
"Wed Jul 26 2023 11:20:00 GMT+0530 (India Standard Time)","347","354.6","347","354.6","75","4350",
"Wed Jul 26 2023 11:25:00 GMT+0530 (India Standard Time)","358.15","358.15","354.65","354.65","105","4290",
