www.gocharting.com

date,open,high,low,close,volume,open_interest
"Mon Jul 24 2023 10:15:00 GMT+0530 (India Standard Time)","847.35","847.35","847.35","847.35","16","",
"Mon Jul 24 2023 13:15:00 GMT+0530 (India Standard Time)","762.6","762.6","762.6","762.6","30","",
"Mon Jul 24 2023 14:15:00 GMT+0530 (India Standard Time)","762.6","762.6","747.85","747.85","30","",
"Tue Jul 25 2023 09:15:00 GMT+0530 (India Standard Time)","750","750","750","750","16","15",
"Tue Jul 25 2023 10:15:00 GMT+0530 (India Standard Time)","725.55","725.55","688.35","688.35","750","705",
"Tue Jul 25 2023 11:15:00 GMT+0530 (India Standard Time)","686.35","698.1","683","690.7","240","885",
"Tue Jul 25 2023 12:15:00 GMT+0530 (India Standard Time)","676.25","682.45","676.25","682.45","345","945",
"Tue Jul 25 2023 13:15:00 GMT+0530 (India Standard Time)","671.15","671.15","577.65","577.65","75","990",
"Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time)","616.3","680","616.3","680","390","1140",
"Tue Jul 25 2023 15:15:00 GMT+0530 (India Standard Time)","688.15","688.15","688.15","688.15","45","1155",
"Wed Jul 26 2023 09:15:00 GMT+0530 (India Standard Time)","650","705.8","650","705.8","61","1155",
"Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time)","705.8","705.8","685","685","990","1170",
"Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time)","673.85","710","670","710","1650","2850",
"Wed Jul 26 2023 12:15:00 GMT+0530 (India Standard Time)","704.1","718.7","704.1","717.1","1875","1410",
"Wed Jul 26 2023 13:15:00 GMT+0530 (India Standard Time)","720","737.05","720","725.2","105","1395",
"Wed Jul 26 2023 14:15:00 GMT+0530 (India Standard Time)","727.25","759.95","690.45","738.4","360","1485",
"Wed Jul 26 2023 15:15:00 GMT+0530 (India Standard Time)","740","748.55","730.95","730.95","120","1500",
"Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time)","818.2","852.5","808.45","808.45","316","1515",
"Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time)","855","880","745.7","776.15","675","1710",
"Thu Jul 27 2023 11:15:00 GMT+0530 (India Standard Time)","741.1","741.1","661.6","661.6","735","2205",
"Thu Jul 27 2023 12:15:00 GMT+0530 (India Standard Time)","651.5","663.65","619.15","660.6","1815","2655",
"Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time)","650","652","620","635.2","525","3000",
"Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time)","635.1","640.05","571","598.8","600","3180",
"Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time)","607.95","619.05","595.4","613.05","195","3240",
"Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time)","542","618","426.3","426.3","1262","3795",
"Fri Jul 28 2023 10:15:00 GMT+0530 (India Standard Time)","426.3","461.9","422.6","434.65","315","3900",
"Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time)","422","427","412","412","825","4320",
"Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time)","400","420","400","411.95","1740","5085",
"Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time)","392.8","396.2","364","365","855","5580",
"Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time)","384.4","442","384.4","428.3","2940","5640",
"Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time)","433.95","434","412.7","414.3","2220","6420",
"Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time)","412.05","428.4","395","428.4","587","7110",
"Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time)","437.5","457","437.5","457","585","6975",
"Mon Jul 31 2023 11:15:00 GMT+0530 (India Standard Time)","457","457","428.4","428.4","435","7320",
"Mon Jul 31 2023 12:15:00 GMT+0530 (India Standard Time)","440.85","449.95","416.15","449.95","165","7290",
"Mon Jul 31 2023 13:15:00 GMT+0530 (India Standard Time)","450","461.55","433.05","448.2","810","6870",
"Mon Jul 31 2023 14:15:00 GMT+0530 (India Standard Time)","457.3","474","444.95","456.35","525","6870",
"Mon Jul 31 2023 15:15:00 GMT+0530 (India Standard Time)","462","475","462","471.05","135","6795",
"Tue Aug 01 2023 09:15:00 GMT+0530 (India Standard Time)","490","490.75","450","466.6","1276","7530",
"Tue Aug 01 2023 10:15:00 GMT+0530 (India Standard Time)","440","440","405.75","405.75","390","7665",
"Tue Aug 01 2023 11:15:00 GMT+0530 (India Standard Time)","409.4","410","391.8","391.8","705","7650",
"Tue Aug 01 2023 12:15:00 GMT+0530 (India Standard Time)","402","402","363.45","383.3","825","7755",
"Tue Aug 01 2023 13:15:00 GMT+0530 (India Standard Time)","383.3","410","383.3","387.7","165","7740",
"Tue Aug 01 2023 14:15:00 GMT+0530 (India Standard Time)","378.15","407.45","371.4","382","720","7260",
"Tue Aug 01 2023 15:15:00 GMT+0530 (India Standard Time)","395","395","391.7","391.75","60","7260",
"Wed Aug 02 2023 09:15:00 GMT+0530 (India Standard Time)","290.15","314.55","278.6","280","1516","7950",
"Wed Aug 02 2023 10:15:00 GMT+0530 (India Standard Time)","274.95","274.95","210.35","227.3","3870","8595",
"Wed Aug 02 2023 11:15:00 GMT+0530 (India Standard Time)","227.9","227.9","196","220.3","3405","8970",
"Wed Aug 02 2023 12:15:00 GMT+0530 (India Standard Time)","218.1","228.85","195.65","201","2325","8655",
"Wed Aug 02 2023 13:15:00 GMT+0530 (India Standard Time)","195","196.65","165.8","167","3375","8550",
"Wed Aug 02 2023 14:15:00 GMT+0530 (India Standard Time)","167","190.25","161.7","189.15","3015","9465",
"Wed Aug 02 2023 15:15:00 GMT+0530 (India Standard Time)","189.15","204.7","189.15","190.5","795","9345",
"Thu Aug 03 2023 09:15:00 GMT+0530 (India Standard Time)","170","210.05","152.4","160.75","2041","9540",
"Thu Aug 03 2023 10:15:00 GMT+0530 (India Standard Time)","158.65","168.05","152.3","168.05","1170","9360",
"Thu Aug 03 2023 11:15:00 GMT+0530 (India Standard Time)","168.75","168.75","140","140","1215","9690",
"Thu Aug 03 2023 12:15:00 GMT+0530 (India Standard Time)","138","139.65","110","114.5","4515","10395",
"Thu Aug 03 2023 13:15:00 GMT+0530 (India Standard Time)","116.25","116.25","91.7","91.7","5190","13110",
"Thu Aug 03 2023 14:15:00 GMT+0530 (India Standard Time)","91.7","109.8","91.2","98.4","3930","13800",
"Thu Aug 03 2023 15:15:00 GMT+0530 (India Standard Time)","102.05","104.15","74.95","74.95","675","13980",
"Fri Aug 04 2023 09:15:00 GMT+0530 (India Standard Time)","107","116.9","82.25","95","3571","15255",
"Fri Aug 04 2023 10:15:00 GMT+0530 (India Standard Time)","95","136","90","131.15","3195","14610",
