www.gocharting.com

date,open,high,low,close,volume,open_interest
"Thu Aug 10 2023 10:00:00 GMT+0530 (India Standard Time)","686.65","686.65","686.65","686.65","121","",
"Thu Aug 10 2023 10:15:00 GMT+0530 (India Standard Time)","625.6","625.6","625.6","625.6","120","120",
"Thu Aug 10 2023 10:30:00 GMT+0530 (India Standard Time)","515.95","515.95","515.95","515.95","30","",
"Thu Aug 10 2023 12:00:00 GMT+0530 (India Standard Time)","515.95","515.95","515.95","515.95","90","30",
"Thu Aug 10 2023 12:15:00 GMT+0530 (India Standard Time)","524.15","524.15","502.2","502.2","60","150",
"Thu Aug 10 2023 12:30:00 GMT+0530 (India Standard Time)","502.2","502.2","502.2","502.2","15","120",
"Thu Aug 10 2023 13:00:00 GMT+0530 (India Standard Time)","525.45","525.45","525.45","525.45","15","135",
"Thu Aug 10 2023 13:15:00 GMT+0530 (India Standard Time)","501.1","501.1","500","500","165","135",
"Thu Aug 10 2023 13:30:00 GMT+0530 (India Standard Time)","478.45","478.45","478.45","478.45","15","285",
"Thu Aug 10 2023 13:45:00 GMT+0530 (India Standard Time)","455.95","455.95","455.95","455.95","510","285",
"Thu Aug 10 2023 14:00:00 GMT+0530 (India Standard Time)","455.95","455.95","455.95","455.95","45","690",
"Thu Aug 10 2023 14:15:00 GMT+0530 (India Standard Time)","494.65","494.65","494","494","60","690",
"Thu Aug 10 2023 14:30:00 GMT+0530 (India Standard Time)","485","485","485","485","15","720",
"Thu Aug 10 2023 15:00:00 GMT+0530 (India Standard Time)","480","480","480","480","120","735",
"Thu Aug 10 2023 15:15:00 GMT+0530 (India Standard Time)","480","480","467.95","467.95","60","825",
"Fri Aug 11 2023 09:15:00 GMT+0530 (India Standard Time)","399.05","399.05","387.65","387.65","616","825",
"Fri Aug 11 2023 09:30:00 GMT+0530 (India Standard Time)","387.65","410.9","368","383.2","1875","810",
"Fri Aug 11 2023 09:45:00 GMT+0530 (India Standard Time)","384.65","384.65","370","382.1","120","810",
"Fri Aug 11 2023 10:00:00 GMT+0530 (India Standard Time)","388.15","406.7","373.5","373.5","90","795",
"Fri Aug 11 2023 11:00:00 GMT+0530 (India Standard Time)","378.55","378.55","378.55","378.55","60","795",
"Fri Aug 11 2023 11:15:00 GMT+0530 (India Standard Time)","380.2","407.75","356.85","356.85","1710","960",
"Fri Aug 11 2023 11:30:00 GMT+0530 (India Standard Time)","382.9","383.65","379.15","379.15","330","975",
"Fri Aug 11 2023 11:45:00 GMT+0530 (India Standard Time)","379.15","379.6","377.4","377.4","90","1020",
"Fri Aug 11 2023 12:30:00 GMT+0530 (India Standard Time)","384.45","384.45","376.55","379.1","60","1065",
"Fri Aug 11 2023 12:45:00 GMT+0530 (India Standard Time)","385","385","364.35","367.3","315","1065",
"Fri Aug 11 2023 13:00:00 GMT+0530 (India Standard Time)","378.55","405.65","378.55","405.65","240","945",
