www.gocharting.com

date,open,high,low,close,volume,open_interest
"Tue Aug 01 2023 13:15:00 GMT+0530 (India Standard Time)","521","557","498.65","515","4620","20580",
"Tue Aug 01 2023 14:15:00 GMT+0530 (India Standard Time)","503","559.85","503","520.9","4590","18450",
"Tue Aug 01 2023 15:15:00 GMT+0530 (India Standard Time)","528.7","543","526.1","534.2","2310","17775",
"Wed Aug 02 2023 09:15:00 GMT+0530 (India Standard Time)","481.15","481.15","365","365","18887","23790",
"Wed Aug 02 2023 10:15:00 GMT+0530 (India Standard Time)","357.25","366.05","289.95","301.5","20595","26190",
"Wed Aug 02 2023 11:15:00 GMT+0530 (India Standard Time)","299.7","302","277.75","293","18285","33510",
"Wed Aug 02 2023 12:15:00 GMT+0530 (India Standard Time)","289.7","303.3","258","258","7920","34410",
"Wed Aug 02 2023 13:15:00 GMT+0530 (India Standard Time)","258","264.8","210","210","18105","37620",
"Wed Aug 02 2023 14:15:00 GMT+0530 (India Standard Time)","205.9","257.1","203","253.6","14610","37875",
"Wed Aug 02 2023 15:15:00 GMT+0530 (India Standard Time)","250.05","275.25","246.55","257.9","8880","39630",
"Thu Aug 03 2023 09:15:00 GMT+0530 (India Standard Time)","237.4","267.7","193.55","198.65","20761","37950",
"Thu Aug 03 2023 10:15:00 GMT+0530 (India Standard Time)","200.4","210.4","186.4","202.1","17070","46035",
"Thu Aug 03 2023 11:15:00 GMT+0530 (India Standard Time)","203.45","205.1","174.15","174.2","13260","46170",
"Thu Aug 03 2023 12:15:00 GMT+0530 (India Standard Time)","174","175.65","131.65","138","50430","62550",
"Thu Aug 03 2023 13:15:00 GMT+0530 (India Standard Time)","139.85","144.5","108.05","112.15","38880","75870",
"Thu Aug 03 2023 14:15:00 GMT+0530 (India Standard Time)","111.05","135.9","110","125","59370","83145",
"Thu Aug 03 2023 15:15:00 GMT+0530 (India Standard Time)","126.85","128","119.75","119.75","12210","84345",
"Fri Aug 04 2023 09:15:00 GMT+0530 (India Standard Time)","136","153.8","98","120","160351","119715",
"Fri Aug 04 2023 10:15:00 GMT+0530 (India Standard Time)","118.45","172","110.65","164.4","77805","120615",
"Fri Aug 04 2023 11:15:00 GMT+0530 (India Standard Time)","165.8","250","164.8","235","234615","126750",
"Fri Aug 04 2023 12:15:00 GMT+0530 (India Standard Time)","235.5","238.85","177.8","178","146715","137625",
"Fri Aug 04 2023 13:15:00 GMT+0530 (India Standard Time)","177.6","194.4","118.85","138.25","244380","141705",
"Fri Aug 04 2023 14:15:00 GMT+0530 (India Standard Time)","139","178.35","133.05","166.8","172005","150075",
"Fri Aug 04 2023 15:15:00 GMT+0530 (India Standard Time)","166.85","172.65","155","155","72150","160185",
"Mon Aug 07 2023 09:15:00 GMT+0530 (India Standard Time)","150.45","185.7","135.3","160.9","189452","175110",
"Mon Aug 07 2023 10:15:00 GMT+0530 (India Standard Time)","162.85","172.75","127.6","133.4","138630","178005",
"Mon Aug 07 2023 11:15:00 GMT+0530 (India Standard Time)","132.35","150.55","130.05","137.6","40740","180705",
"Mon Aug 07 2023 12:15:00 GMT+0530 (India Standard Time)","136.7","156.4","132","142.6","68055","195540",
"Mon Aug 07 2023 13:15:00 GMT+0530 (India Standard Time)","141","170.5","125.1","131.4","79185","199710",
"Mon Aug 07 2023 14:15:00 GMT+0530 (India Standard Time)","132.35","141.75","120.65","128.95","108945","203445",
"Mon Aug 07 2023 15:15:00 GMT+0530 (India Standard Time)","128.75","130","124","124.05","68610","210675",
