www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Jul 26 2023 09:30:00 GMT+0530 (India Standard Time)","557","566.85","533.15","533.15","151","5790",
"Wed Jul 26 2023 09:45:00 GMT+0530 (India Standard Time)","559.95","576","556","573.4","135","5835",
"Wed Jul 26 2023 10:00:00 GMT+0530 (India Standard Time)","580","600.15","580","600.15","720","5865",
"Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time)","600.35","600.35","592.95","598.25","210","6060",
"Wed Jul 26 2023 10:30:00 GMT+0530 (India Standard Time)","605.6","610","605.6","610","135","6075",
"Wed Jul 26 2023 10:45:00 GMT+0530 (India Standard Time)","590.55","592.2","570","570","135","6165",
"Wed Jul 26 2023 11:00:00 GMT+0530 (India Standard Time)","568","578.4","564.8","570.1","540","6195",
"Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time)","563.5","585.45","563.5","573.75","555","6525",
"Wed Jul 26 2023 11:30:00 GMT+0530 (India Standard Time)","579.95","602.95","579","590.6","9795","10815",
"Wed Jul 26 2023 11:45:00 GMT+0530 (India Standard Time)","588.25","600","581.45","595.45","1275","16185",
"Wed Jul 26 2023 12:00:00 GMT+0530 (India Standard Time)","597.5","606.85","590","606.85","165","16305",
"Wed Jul 26 2023 12:15:00 GMT+0530 (India Standard Time)","600.35","607","598.8","598.8","75","16305",
"Wed Jul 26 2023 12:30:00 GMT+0530 (India Standard Time)","600.95","613","600.95","613","165","16275",
"Wed Jul 26 2023 12:45:00 GMT+0530 (India Standard Time)","613","618.65","608.5","618.65","165","16350",
"Wed Jul 26 2023 13:00:00 GMT+0530 (India Standard Time)","600.2","600.2","597.95","597.95","150","16275",
"Wed Jul 26 2023 13:15:00 GMT+0530 (India Standard Time)","610","633","610","633","720","16335",
"Wed Jul 26 2023 13:30:00 GMT+0530 (India Standard Time)","633","636.8","620","630.45","135","16290",
"Wed Jul 26 2023 13:45:00 GMT+0530 (India Standard Time)","625","626.45","586.15","618.2","720","16695",
"Wed Jul 26 2023 14:00:00 GMT+0530 (India Standard Time)","625","636","611.15","611.15","165","16710",
"Wed Jul 26 2023 14:15:00 GMT+0530 (India Standard Time)","620.15","653.95","620.15","653.45","510","16395",
"Wed Jul 26 2023 14:30:00 GMT+0530 (India Standard Time)","653.45","653.45","618.05","624","240","16455",
"Wed Jul 26 2023 14:45:00 GMT+0530 (India Standard Time)","627","627","582.4","615","870","16470",
"Wed Jul 26 2023 15:00:00 GMT+0530 (India Standard Time)","630","638.25","625","638.1","510","16365",
"Wed Jul 26 2023 15:15:00 GMT+0530 (India Standard Time)","631.05","641.95","628.35","628.35","390","16455",
"Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time)","674.25","730","674.25","709","2206","15465",
"Thu Jul 27 2023 09:30:00 GMT+0530 (India Standard Time)","729.95","730.2","720.7","730.2","360","15510",
"Thu Jul 27 2023 09:45:00 GMT+0530 (India Standard Time)","711.75","725.9","707.05","707.05","150","15480",
"Thu Jul 27 2023 10:00:00 GMT+0530 (India Standard Time)","701.7","728","701.7","728","210","15600",
"Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time)","728","753.05","728","753.05","390","15510",
"Thu Jul 27 2023 10:30:00 GMT+0530 (India Standard Time)","753.05","753.05","721","727.4","45","15480",
"Thu Jul 27 2023 10:45:00 GMT+0530 (India Standard Time)","726","729.7","670.8","670.8","660","15870",
"Thu Jul 27 2023 11:00:00 GMT+0530 (India Standard Time)","655","665.55","645.7","653","660","16170",
"Thu Jul 27 2023 11:15:00 GMT+0530 (India Standard Time)","635.95","635.95","561.9","568.45","6825","15900",
"Thu Jul 27 2023 11:30:00 GMT+0530 (India Standard Time)","568.25","598.6","568.1","594.7","6240","13605",
"Thu Jul 27 2023 11:45:00 GMT+0530 (India Standard Time)","585.35","595.35","556","580","495","13755",
"Thu Jul 27 2023 12:00:00 GMT+0530 (India Standard Time)","590.35","590.35","555.85","555.85","315","13755",
"Thu Jul 27 2023 12:15:00 GMT+0530 (India Standard Time)","555.85","570","542.9","565.45","555","13920",
"Thu Jul 27 2023 12:30:00 GMT+0530 (India Standard Time)","569","569","533","553.55","555","13935",
"Thu Jul 27 2023 12:45:00 GMT+0530 (India Standard Time)","553.25","559.6","535.85","541.4","330","13800",
