www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Thu Jul 27 2023 11:45:00 GMT+0530 (India Standard Time),860,860,860,860,45,870
Thu Jul 27 2023 12:00:00 GMT+0530 (India Standard Time),870,870,870,870,30,855
Thu Jul 27 2023 12:30:00 GMT+0530 (India Standard Time),838.4,850.3,821.55,821.55,645,1125
Thu Jul 27 2023 13:00:00 GMT+0530 (India Standard Time),848.3,848.3,848.3,848.3,15,1125
Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time),882.05,882.05,836.85,836.85,120,1125
Thu Jul 27 2023 13:30:00 GMT+0530 (India Standard Time),780.05,805.75,780.05,805.75,375,1440
Thu Jul 27 2023 13:45:00 GMT+0530 (India Standard Time),829.8,835.65,829.8,835.65,45,1440
Thu Jul 27 2023 14:00:00 GMT+0530 (India Standard Time),808,835,808,835,270,1515
Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time),840.2,840.2,805.75,805.75,30,1665
Thu Jul 27 2023 14:30:00 GMT+0530 (India Standard Time),805.75,805.75,750,750,270,1860
Thu Jul 27 2023 14:45:00 GMT+0530 (India Standard Time),750,765.4,716.9,716.9,135,1935
Thu Jul 27 2023 15:00:00 GMT+0530 (India Standard Time),764.2,764.2,755.7,755.7,75,2010
Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time),791.4,791.4,791.4,791.4,45,2010
Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time),693.65,693.65,569.7,569.7,2371,3660
Fri Jul 28 2023 09:30:00 GMT+0530 (India Standard Time),568.55,592.1,566.65,592.1,1380,4095
Fri Jul 28 2023 09:45:00 GMT+0530 (India Standard Time),572.75,605,566.65,587.4,735,4500
Fri Jul 28 2023 10:00:00 GMT+0530 (India Standard Time),584,584.15,553.2,569.95,495,4785
Fri Jul 28 2023 10:15:00 GMT+0530 (India Standard Time),560,579.35,540,553,885,4980
Fri Jul 28 2023 10:30:00 GMT+0530 (India Standard Time),570.9,578.7,570.9,578.7,210,4995
Fri Jul 28 2023 10:45:00 GMT+0530 (India Standard Time),568.8,597.5,565.15,574.45,405,5115
Fri Jul 28 2023 11:00:00 GMT+0530 (India Standard Time),574.45,591.2,556.25,556.25,855,5865
