www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time),1230,1230,1230,1230,16,
Fri Jul 28 2023 09:20:00 GMT+0530 (India Standard Time),1170,1170,1170,1170,16,15
Fri Jul 28 2023 12:50:00 GMT+0530 (India Standard Time),957.75,957.75,957.75,957.75,15,30
Fri Jul 28 2023 12:55:00 GMT+0530 (India Standard Time),944.8,944.8,944.8,944.8,60,30
Fri Jul 28 2023 15:05:00 GMT+0530 (India Standard Time),944.8,999,944.8,999,75,75
Tue Aug 01 2023 09:15:00 GMT+0530 (India Standard Time),1104.45,1104.45,1104.45,1104.45,46,75
Tue Aug 01 2023 09:35:00 GMT+0530 (India Standard Time),1107.75,1107.75,1107.75,1107.75,30,120
Tue Aug 01 2023 11:20:00 GMT+0530 (India Standard Time),998.6,998.6,998.6,998.6,45,105
Tue Aug 01 2023 12:15:00 GMT+0530 (India Standard Time),953.45,953.45,953.45,953.45,15,120
Wed Aug 02 2023 09:20:00 GMT+0530 (India Standard Time),793.65,793.65,793.65,793.65,226,120
Wed Aug 02 2023 09:35:00 GMT+0530 (India Standard Time),774.6,774.6,774.6,774.6,15,300
Wed Aug 02 2023 10:05:00 GMT+0530 (India Standard Time),774.6,774.6,774.6,774.6,15,315
Wed Aug 02 2023 10:30:00 GMT+0530 (India Standard Time),708.05,708.05,708.05,708.05,30,330
Wed Aug 02 2023 10:35:00 GMT+0530 (India Standard Time),708.05,708.05,708.05,708.05,225,360
Wed Aug 02 2023 10:40:00 GMT+0530 (India Standard Time),710,710,710,710,15,585
Wed Aug 02 2023 10:45:00 GMT+0530 (India Standard Time),692.45,692.45,692.45,692.45,15,600
Wed Aug 02 2023 11:00:00 GMT+0530 (India Standard Time),684.15,684.15,642.2,642.2,75,600
Wed Aug 02 2023 11:05:00 GMT+0530 (India Standard Time),625.65,625.65,625.65,625.65,30,660
Wed Aug 02 2023 11:10:00 GMT+0530 (India Standard Time),639.9,639.9,639.9,639.9,15,675
Wed Aug 02 2023 11:20:00 GMT+0530 (India Standard Time),646,654.7,646,646.1,45,675
Wed Aug 02 2023 11:25:00 GMT+0530 (India Standard Time),639.6,639.6,639.6,639.6,15,720
Wed Aug 02 2023 11:30:00 GMT+0530 (India Standard Time),642.5,642.5,635,635,60,720
Wed Aug 02 2023 11:35:00 GMT+0530 (India Standard Time),639.8,639.8,637.75,637.75,105,780
Wed Aug 02 2023 11:40:00 GMT+0530 (India Standard Time),647.75,649.9,637.35,646.4,90,870
Wed Aug 02 2023 11:45:00 GMT+0530 (India Standard Time),649.25,649.25,649.25,649.25,60,915
Wed Aug 02 2023 11:50:00 GMT+0530 (India Standard Time),639,644.95,639,644.95,75,930
Wed Aug 02 2023 11:55:00 GMT+0530 (India Standard Time),629.05,629.05,629.05,629.05,90,960
