www.gocharting.com

date,open,high,low,close,volume,open_interest
"Mon Jul 24 2023 10:15:00 GMT+0530 (India Standard Time)","847.35","847.35","847.35","847.35","16","",
"Mon Jul 24 2023 13:30:00 GMT+0530 (India Standard Time)","762.6","762.6","762.6","762.6","15","15",
"Mon Jul 24 2023 14:00:00 GMT+0530 (India Standard Time)","762.6","762.6","762.6","762.6","15","",
"Mon Jul 24 2023 14:30:00 GMT+0530 (India Standard Time)","762.6","762.6","762.6","762.6","15","15",
"Mon Jul 24 2023 15:00:00 GMT+0530 (India Standard Time)","747.85","747.85","747.85","747.85","15","",
"Tue Jul 25 2023 10:00:00 GMT+0530 (India Standard Time)","750","750","750","750","16","15",
"Tue Jul 25 2023 10:30:00 GMT+0530 (India Standard Time)","725.55","725.55","725","725","30","30",
"Tue Jul 25 2023 11:00:00 GMT+0530 (India Standard Time)","691.2","691.2","688.35","688.35","720","705",
"Tue Jul 25 2023 11:15:00 GMT+0530 (India Standard Time)","686.35","698.1","683","698.1","195","735",
"Tue Jul 25 2023 11:30:00 GMT+0530 (India Standard Time)","690.7","690.7","690.7","690.7","45","885",
"Tue Jul 25 2023 12:15:00 GMT+0530 (India Standard Time)","676.25","676.25","676.25","676.25","15","930",
"Tue Jul 25 2023 12:30:00 GMT+0530 (India Standard Time)","676.25","676.25","676.25","676.25","30","945",
"Tue Jul 25 2023 12:45:00 GMT+0530 (India Standard Time)","682.45","682.45","682.45","682.45","300","945",
"Tue Jul 25 2023 13:15:00 GMT+0530 (India Standard Time)","671.15","671.15","671.15","671.15","15","960",
"Tue Jul 25 2023 13:30:00 GMT+0530 (India Standard Time)","589.6","589.6","589.6","589.6","15","975",
"Tue Jul 25 2023 13:45:00 GMT+0530 (India Standard Time)","589.6","589.6","589.6","589.6","15","990",
"Tue Jul 25 2023 14:00:00 GMT+0530 (India Standard Time)","577.65","577.65","577.65","577.65","30","990",
"Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time)","616.3","636","616.3","630.25","330","1020",
"Tue Jul 25 2023 14:30:00 GMT+0530 (India Standard Time)","630.25","680","630.25","680","60","1140",
"Tue Jul 25 2023 15:15:00 GMT+0530 (India Standard Time)","688.15","688.15","688.15","688.15","45","1155",
"Wed Jul 26 2023 09:30:00 GMT+0530 (India Standard Time)","650","650","650","650","16","1110",
"Wed Jul 26 2023 09:45:00 GMT+0530 (India Standard Time)","675.6","675.6","675.6","675.6","30","1125",
"Wed Jul 26 2023 10:00:00 GMT+0530 (India Standard Time)","705.8","705.8","705.8","705.8","15","1155",
"Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time)","705.8","705.8","705.8","705.8","45","1170",
"Wed Jul 26 2023 11:00:00 GMT+0530 (India Standard Time)","685","685","685","685","945","1170",
"Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time)","673.85","695.25","670","691.05","1455","2850",
"Wed Jul 26 2023 11:30:00 GMT+0530 (India Standard Time)","690.1","700.8","690.1","700.8","75","2865",
"Wed Jul 26 2023 11:45:00 GMT+0530 (India Standard Time)","700.85","703.3","690.3","703.3","90","2850",
"Wed Jul 26 2023 12:00:00 GMT+0530 (India Standard Time)","710","710","710","710","30","2850",
"Wed Jul 26 2023 12:30:00 GMT+0530 (India Standard Time)","704.1","717.1","704.1","717.1","75","2835",
"Wed Jul 26 2023 12:45:00 GMT+0530 (India Standard Time)","717.1","718.7","717.1","717.1","1800","1410",
"Wed Jul 26 2023 13:15:00 GMT+0530 (India Standard Time)","720","720","720","720","15","1395",
"Wed Jul 26 2023 13:30:00 GMT+0530 (India Standard Time)","737.05","737.05","725.2","725.2","90","1395",
"Wed Jul 26 2023 14:15:00 GMT+0530 (India Standard Time)","727.25","759.95","727.25","759.95","195","1440",
"Wed Jul 26 2023 14:45:00 GMT+0530 (India Standard Time)","690.45","698.95","690.45","698.95","90","1440",
"Wed Jul 26 2023 15:00:00 GMT+0530 (India Standard Time)","739","739","738.4","738.4","75","1485",
"Wed Jul 26 2023 15:15:00 GMT+0530 (India Standard Time)","740","748.55","730.95","730.95","120","1500",
"Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time)","818.2","830","818.2","830","106","1485",
"Thu Jul 27 2023 09:30:00 GMT+0530 (India Standard Time)","852.5","852.5","852.5","852.5","90","1425",
"Thu Jul 27 2023 09:45:00 GMT+0530 (India Standard Time)","852.5","852.5","808.45","808.45","45","1530",
"Thu Jul 27 2023 10:00:00 GMT+0530 (India Standard Time)","808.45","808.45","808.45","808.45","75","1515",
"Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time)","855","880","855","880","480","1605",
"Thu Jul 27 2023 10:45:00 GMT+0530 (India Standard Time)","829.7","829.7","829.7","829.7","45","1725",
"Thu Jul 27 2023 11:00:00 GMT+0530 (India Standard Time)","745.7","776.15","745.7","776.15","150","1710",
"Thu Jul 27 2023 11:15:00 GMT+0530 (India Standard Time)","741.1","741.1","700","700","195","1875",
"Thu Jul 27 2023 11:30:00 GMT+0530 (India Standard Time)","700","700","700","700","15","1965",
"Thu Jul 27 2023 11:45:00 GMT+0530 (India Standard Time)","681.2","702.1","668","702.1","210","1995",
"Thu Jul 27 2023 12:00:00 GMT+0530 (India Standard Time)","695.85","695.85","661.6","661.6","315","2205",
"Thu Jul 27 2023 12:15:00 GMT+0530 (India Standard Time)","651.5","651.5","650","650","105","2220",
"Thu Jul 27 2023 12:30:00 GMT+0530 (India Standard Time)","650","656.15","650","656.15","645","2835",
"Thu Jul 27 2023 12:45:00 GMT+0530 (India Standard Time)","636.1","663.65","636.1","644.95","75","2880",
"Thu Jul 27 2023 13:00:00 GMT+0530 (India Standard Time)","635.65","660.6","619.15","660.6","990","2655",
"Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time)","650","650","630.75","630.75","75","2745",
"Thu Jul 27 2023 13:30:00 GMT+0530 (India Standard Time)","620","650","620","650","180","2940",
"Thu Jul 27 2023 14:00:00 GMT+0530 (India Standard Time)","635","652","635","635.2","270","3000",
"Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time)","635.1","640.05","625.1","640.05","165","3045",
"Thu Jul 27 2023 14:30:00 GMT+0530 (India Standard Time)","621.1","621.1","590","590","210","3120",
"Thu Jul 27 2023 14:45:00 GMT+0530 (India Standard Time)","590","590","571","571","60","3150",
"Thu Jul 27 2023 15:00:00 GMT+0530 (India Standard Time)","571","598.95","571","598.8","165","3180",
"Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time)","607.95","619.05","595.4","613.05","195","3240",
"Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time)","542","618","428.2","442.55","782","3390",
"Fri Jul 28 2023 09:30:00 GMT+0530 (India Standard Time)","442.55","469","442.55","459.85","270","3660",
"Fri Jul 28 2023 09:45:00 GMT+0530 (India Standard Time)","440","468.45","434.6","468.45","120","3795",
